sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Login LitRC,55998,629,303,1323,14,5700,0.0,0.28284674791120196,253.7531686413157
HTTP Request - Ajax Ngram Search,22708,299,262,529,43,9312,0.0,0.11470062696914403,0.08264451603254178
HTTP Request: Home Page,11354,49,31,43,17,3055,0.0,0.057350376635490904,0.546208736425478
HTTP Request: Search Assist,22042,63,49,106,7,3163,0.0,0.11133575140994642,0.017002449433569135
HTTP Request: Bookmark,4951,497,367,820,167,4572,0.0,0.025008333290861426,4.755281964184501
HTTP Request: Navigate To Advance Search Page,13349,235,102,299,36,5248,7.491197842535021E-5,0.06742833595075057,0.9598738416304753
HTTP Request: Basic Search,22036,436,349,588,44,4442,0.0,0.1113088155344353,4.499648493234951
HTTP Request: Ajax MarkList,42824,14,5,8,3,3052,0.0,0.2163088847636894,0.04116857775819753
HTTP Request: Advance Search,13345,473,351,637,29,10872,0.0,0.06740776754783175,2.2792742805272717
HTTP Request: Navigate to Work Search,5342,423,421,495,36,3411,0.0,0.026984036926689735,0.3567196757546448
HTTP Request: Work Search,5341,137,103,184,26,3361,0.0,0.0274352475506375,0.35274380806951894
HTTP Request: Ajax Limit Expand Search Results (SU),41187,122,90,204,13,3175,0.0,0.2115669481254815,0.3298282932447989
HTTP Request - Ajax Entity Facts,42798,2089,2072,3481,8,75115,2.3365577830739753E-5,0.21984354544733903,10.682064544570208
HTTP Request- Previous Search,11523,36,24,36,13,3092,0.0,0.05919398261599667,0.4144732357111605
HTTP Request: Click on Work Search Link,5077,206,148,286,54,3376,0.0,0.026079712690638874,0.4517182748507633
HTTP Request: Retrieve Document,63591,308,222,447,61,9249,1.57254957462534E-5,0.32666409675088737,20.01525629522517
HTTP Request: Click On Next Page Link,11337,271,231,369,43,3328,0.0,0.0582408402742053,0.9438489748564757
HTTP Request: Retrieve Document/ Ajax MarkList,42350,13,5,8,3,3010,0.0,0.21755473451089402,0.04149038944607873
HTTP Request: Search Within Results,8482,261,231,413,41,3567,0.0,0.043574491016218624,0.560133849181497
HTTP Request- Print Document,8238,23,9,19,6,3230,0.0,0.042320633821101156,0.006671085377974427
HTTP Request - Navigate to Person Search,3336,334,322,385,38,3558,0.0,0.017138420176729167,0.21702815725944125
HTTP Request- Limit Expand Result,11507,273,236,413,62,3631,0.0,0.05911565568329601,0.824560340443244
HTTP Request- Citation Tools messages/en,8524,20,8,13,5,5028,0.0,0.0437917424401923,0.06643159268807675
HTTP Request: Citation Tools/ Popup Window,8524,18,8,12,5,4892,0.0,0.0437917428901493,0.08737058204877511
HTTP Request: Citation/ Ajax MLA7,8524,26,12,22,8,5022,0.0,0.04379174131529985,0.03666188478601441
HTTP Request: Citation/ Ajax APA,8523,22,11,18,8,5024,0.0,0.04378660880046002,0.029256218993411777
HTTP Request: Save Citation/ MLA7,8523,22,12,18,9,5019,0.0,0.0437866081256036,0.028605657024720784
HTTP Request: Save Citation/ APA,8523,19,12,18,8,1076,0.0,0.04378660835055574,0.026143316682755834
HTTP Request: Export Citation/ ENDNOTE,8523,23,12,18,9,5041,0.0,0.043786604976273936,0.030005046957858706
HTTP Request: Export Citation/ PROCITE,8523,21,12,19,8,5115,0.0,0.043786605201226035,0.030006381648541077
HTTP Request: Export Citation/ REFMGR,8523,20,12,18,8,3015,0.0,0.043786604976273936,0.030006762790534568
HTTP Request- Navigate To Download,8544,17,6,9,4,3015,0.0,0.04389386369231216,0.07393851687194018
HTTP Request: Person Search,3336,176,145,247,26,3147,0.0,0.0171384100513076,0.2453381452035352
HTTP Request- Mark Current Document,8514,129,102,212,36,3213,0.0,0.04374007095508762,0.016466433416042515
HTTP Request- View Mark Item,8514,184,151,259,66,3280,0.0,0.04374007949412671,0.4028993248107504
HTTP Request- View Mark Item/ Ajax Calls,8514,14,5,8,3,3114,0.0,0.043740096122791366,0.016465394332802682
HTTP Request: Click on Person Link,2391,264,193,358,63,4249,0.0,0.01228520777284428,0.2326518899033
TOTAL,585239,343,108,1191,3,75115,5.126110870943324E-6,2.9559607562658,302.8679373354527
