sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Home Page / Product Page,8345,799,637,1445,321,6835,0.0,1.159093298746193,996.8480459752639
HTTP Request: Saved Item Count,36609,9,5,7,4,5532,0.0,5.084877832507799,1.999930689345133
HTTP Request: Bread Crumb,33549,37,9,23,5,5102,0.0,4.662907597874985,13.261540690658354
HTTP Request: Header Bookmark Tool,29374,13,9,13,6,5597,0.0,4.084189872143472,3.42621887715298
HTTP Request: FavIcon Servlet,147089,0,0,0,0,5888,0.0,20.446549334638156,0.6433501163062653
HTTP Request: Search Assist,3100,27,19,38,7,5479,0.0,0.4313874743167901,0.7158908023059052
HTTP Request: Go To Home Page,2800,223,197,266,78,5969,0.0,0.38996215138776386,6.74104648314897
HTTP Request: Perform Basic Person Search,3097,666,605,942,96,5902,0.0,0.431392743882114,19.252892797101033
HTTP Request: Browse Items,1631,865,843,1024,526,6327,0.0,0.22729445460061534,32.684788895659025
HTTP Request: Person Filmstrip Portlet Window,3095,129,96,222,11,4475,0.0,0.43137000744966947,5.7440118882856215
HTTP Request: Featured Links,1216,614,584,744,293,5070,0.0,0.16979761269583454,4.805405911857864
HTTP Request: MLA7 Citation - Get Bookmark,6779,12,9,16,7,1009,0.0,0.9459520744593637,0.4049145166368397
HTTP Request: Topic Page,1629,791,739,1052,356,4874,0.0,0.22740712324544723,9.593226784318793
HTTP Request: MLA7 Citation - Get Citation,6757,25,15,28,11,5686,0.0,0.9445290145278823,1.1012467218171944
HTTP Request: Display Group Ajax Calls,17815,178,156,292,12,5898,0.0,2.488813958257777,7.394667131086941
HTTP Request: Bookmark Tool,6753,14,9,14,6,5703,0.0,0.943804565230061,0.6455304877315889
HTTP Request: Translate Form,6742,18,10,17,7,5552,0.0,0.9428492394974118,1.368090988832369
HTTP Request: Go To Advanced Search Page,3032,294,260,345,115,6008,0.0,0.42444780138978655,10.823025625432305
HTTP Request: Email Form,6736,13,10,18,7,1016,0.0,0.9427459575358446,1.376445803741313
HTTP Request: Related Subjects,6730,14,10,16,7,4273,0.0,0.9428423207594405,0.6864397533213477
HTTP Request: Clear Document In Session,6728,13,9,15,6,5034,0.0,0.942744128061869,0.3039544218139613
HTTP Request: Perform Advanced Search WIth Default Date Range,2424,827,656,1543,229,6260,0.0,0.33978628227829505,46.355879239671424
HTTP Request: Perform Advanced Search WIth New Date Range,606,1141,900,2002,264,5355,0.0,0.08506580036179635,7.457108085907896
HTTP Request: Saved Item List,14550,7,5,7,4,4090,0.0,2.0417353150467754,0.801014401285325
HTTP Request: Perform Entity Search,535,487,414,628,196,3703,0.0,0.07531873904886652,2.8377379808186403
HTTP Request: Navigation Portlet,7828,90,58,188,9,5648,0.0,1.1011894337019392,1.0769935141851994
HTTP Request: Add Search To History,7828,14,9,13,6,4917,0.0,1.1020313811460283,0.35533490604154777
HTTP Request: Suggested Portals,4014,143,93,208,9,4980,0.0,0.5654582754762267,5.835612836272641
HTTP Request: Reference List,4012,46,13,103,9,6012,0.0,0.5654378775164592,0.7268720123189915
HTTP Request: Biographies List,4009,89,61,147,9,4472,0.0,0.5655106494866534,1.537811999544587
HTTP Request: Perform Related Subjects Search,561,677,603,957,242,5816,0.0,0.07912795074263909,10.388790532490557
HTTP Request: Primary Sources List,4008,87,73,153,9,3413,0.0,0.5654637112816783,0.585056580716206
HTTP Request: Magazine List,4005,153,135,262,10,3140,0.0,0.5655535123767962,1.4603451040982083
HTTP Request: News List,4003,167,135,287,10,5157,0.0,0.5657692235393352,1.4508541474007617
HTTP Request: Academic Journal List,4002,125,106,228,10,4159,0.0,0.5656242897895911,1.1848101432232923
HTTP Request: Website List,3999,86,71,153,9,3139,0.0,0.5655788619744316,0.45248839230354515
HTTP Request: Audio List,3997,123,100,209,9,3258,0.0,0.5656250269757995,1.0819097687984707
HTTP Request: View Full List Page,2921,530,465,671,158,6660,0.0,0.414303439753954,16.209853810749493
HTTP Request: View More,3142,547,516,677,185,5355,0.0,0.44604419698913067,12.310446798813055
HTTP Request: Sidebar Limiter Ajax Calls,9635,80,57,161,15,5039,0.0,1.3861005832843607,1.5845058134673302
HTTP Request: View Document,4974,529,477,739,170,7023,0.0,0.7161437430359916,38.29272564804422
HTTP Request: Sort By Title,282,426,381,567,117,3334,0.0,0.04074124211378855,1.3641044514249538
HTTP Request: Print Document Tool (Audit Logging),1922,245,207,286,87,3746,0.0,0.27920097967294843,3.2827236824114276
HTTP Request: Download,1922,19,14,23,8,3769,0.0,0.279351857181145,0.3224850665938782
HTTP Request: Download Citation Pop Up,1926,15,8,12,6,5409,0.0,0.27972218910062346,0.4130784957775892
HTTP Request: Download Citation CSS,1926,9,8,12,0,1054,0.0,0.279681244700614,0.4378560669610774
HTTP Request: Download Citation JS,1925,0,0,0,0,1,0.0,0.2796248349850325,0.0
HTTP Request: Download Citation i18n,1924,13,8,11,6,3710,0.0,0.27948692359998334,0.47604429185000735
HTTP Request: Sort By Relevance,282,416,370,554,114,2962,0.0,0.0411006221934615,0.8880557101079839
HTTP Request: Download Citation,1923,19,14,22,11,1023,0.0,0.27941821147061885,1.764955688810572
HTTP Request: Follow Spotlight Links,1555,678,634,816,344,3806,0.0,0.22694710030930482,8.91318944577037
HTTP Request: Portal Page Ajax Calls,17039,164,148,266,21,5961,0.0,2.487536041461367,9.110298277309392
HTTP Request: Sort By Content Level,202,416,408,567,185,1546,0.0,0.029793879452193802,0.6709247543129591
HTTP Request: Save Highlight,97,7,6,8,5,56,0.0,0.014285426052522946,0.009690641182939313
HTTP Request: Save Note,97,16,6,8,5,1005,0.0,0.014286656910500134,0.010103989556306514
HTTP Request: Full List Pagination,135,479,463,600,210,1496,0.0,0.02044283109284952,0.9172417636496026
TOTAL,463816,86,8,247,0,7023,0.0,64.36664462899836,1294.4739695069898
