sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request : Launch,376,118,48,239,37,3049,0.0,0.052309557387410284,8.550138748796776
HTTP Request : Login,376,846,1150,1389,188,3382,0.0,0.052288134320429475,46.26041044282
HTTP Request : Login / Ajax Marklist,376,5,5,8,3,69,0.0,0.05229067943671813,0.009266009874524622
HTTP Request : Basic search,346,329,229,465,81,3371,0.0,0.04814344408737284,1.3973326738336624
HTTP Request :  Basic Search/ Ajax Marklist,346,11,5,8,3,1012,0.0,0.04814488437644234,0.008525475427254542
HTTP Request: Navigate to NGrams Search Form,102,604,511,626,376,3632,0.0,0.014310346520832077,0.9770664201756244
HTTP Request :Navigate To NGram Search / Ajax Marklist,102,6,5,8,4,56,0.0,0.014311491004806977,0.002537477997836439
HTTP Request: NGram Search,102,98,84,161,32,270,0.0,0.014303316981276537,0.007758996216702545
HTTP Request: Ajax BrowseIndex Search Results (SU),550,84,63,139,26,1175,0.0,0.07700099331281374,0.16169935154663495
HTTP Request: Ajax BrowseIndex Search Results (TY),550,77,56,134,22,1056,0.0,0.07699954878264413,0.10271031608629773
HTTP Request: Ajax BrowseIndex Search Results (PO),550,79,60,136,25,1072,0.0,0.07699896667386724,0.17861982948438831
HTTP Request: Ajax BrowseIndex Search Results (WO),550,72,53,122,26,1117,0.0,0.07699827677856569,0.20257163832173436
HTTP Request: Ajax BrowseIndex Search Results (PU),550,78,57,128,25,1123,0.0,0.07699792105613149,0.19380371261225945
HTTP Request: Ajax BrowseIndex Search Results (AU),550,75,60,132,26,412,0.0,0.07699680001299146,0.1667653348576833
HTTP Request : Retrieve Document,613,883,728,1161,372,7359,0.0,0.08580605479997391,11.498236482388132
HTTP Request : DVI Document Image Tiles,5246,463,488,623,76,2577,0.0,0.7341611655893092,9.23265833870671
HTTP Request :  Retreive Doc / Ajax Marklist,648,12,5,8,3,1049,0.0,0.09134115456065116,0.016171417093876858
HTTP Request: Download Citation JS,122,25,8,14,0,1017,0.0,0.017334090728904197,0.04830715043497201
HTTP Request: Download Citation/en,122,27,8,14,6,1050,0.0,0.017334078414539936,0.026294163004842604
HTTP Request: Download Citation CSS,122,7,8,12,0,24,0.0,0.01733405378586391,0.025280817221425063
HTTP Request: Download Citation Pop Up,122,17,8,12,6,1010,0.0,0.017334046397274747,0.023039401912527856
HTTP Request: Get Citation,122,30,16,25,12,1017,0.0,0.01733399467732698,0.10440940105294072
HTTP Request: Download Citation,122,13,13,16,10,86,0.0,0.01733399221448002,0.01130453019091261
HTTP Request : Navigate To Advance Search,349,287,74,564,34,1598,0.0,0.04959539254540039,0.5630123983862881
HTTP Request : Navigate To Advance Search/ Ajax Marklist,349,11,5,8,3,1010,0.0,0.04959848674874814,0.008795926120282726
HTTP Request : Advance Search/ Single Term,209,293,248,412,91,3471,0.0,0.029908812467023385,0.41532324834532
HTTP Request : Advance Search/ Ajax Marklist,349,17,5,8,3,1054,0.0,0.049606692838342875,0.00878419463782921
HTTP Request : AdvancedSearch - Multiple Search Terms,140,245,220,442,56,1151,0.0,0.01997432443267925,0.23252518472504916
HTTP Request: Retrieve Carrot page,17,75,74,84,49,108,0.0,0.0024617494813673076,0.16967305672573127
HTTP Request: Retrieve Carrot Results,17,3978,3746,6420,1776,6446,0.0,0.0024609187999575567,1.6318051733290253
TOTAL,14095,289,191,615,0,7359,0.0,1.957649220926444,81.87274316842748
