sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Home Page / Product Page,4081,800,639,1437,317,6823,0.0,0.5670021950668169,510.9915205249828
HTTP Request: Saved Item Count,21980,9,4,6,2,5469,0.0,3.055780506539412,1.2019259593628462
HTTP Request: Bread Crumb,22000,14,7,12,4,6675,0.0,3.058663497520536,2.228585155285913
HTTP Request: Header Bookmark Tool,15917,13,8,13,5,5796,0.0,2.2146519043613213,1.9667107461576478
HTTP Request: FavIcon Servlet,4074,8,4,6,2,5052,0.0,0.5671968114461821,0.31502812594498
HTTP Request: Go To Advanced Search Page,1921,308,255,385,129,4291,0.0,0.26751458065870976,6.464556456978266
HTTP Request: Browse Items,597,295,277,404,121,2421,0.0,0.083233265199168,2.9625002999691326
HTTP Request: Search Assist,2409,90,57,175,6,6071,0.0,0.33552139523417557,0.5755313444916134
HTTP Request: Perform Basic Keyword Search,2407,896,730,1595,155,9554,0.0,0.3356848004795258,33.16633470484527
HTTP Request: Perform Advanced Search WIth Default Date Range,1534,807,698,1091,257,7189,0.0,0.21399439652743174,37.35877102208969
HTTP Request: Saved Item List,13112,9,4,6,2,4609,0.0,1.82884152262494,0.7175055121886039
HTTP Request: Topic Page,595,701,641,941,317,5813,0.0,0.08308169122486987,3.377100025015269
HTTP Request: Perform Advanced Search WIth New Date Range,383,1169,953,1967,329,4287,0.0,0.05359370264198763,4.876838361077986
HTTP Request: Navigation Portlet,7550,130,78,269,8,5119,0.0,1.0543906362290858,1.1960080966901352
HTTP Request: Display Group Ajax Calls,7677,331,247,637,8,9942,0.0,1.0721562406909062,4.275825367707903
HTTP Request: Add Search To History,7551,13,8,13,5,4417,0.0,1.054746379660925,0.3401188442222988
HTTP Request: Suggested Portals,3656,160,128,266,21,4714,0.0,0.5108742433304082,7.45610277628047
HTTP Request: Reference List,3650,115,84,192,9,3743,0.0,0.5102624972022936,1.4448704599918554
HTTP Request: Biographies List,3646,65,39,154,8,3107,0.0,0.5099057513480826,0.8616612655256581
HTTP Request: Primary Sources List,3645,144,117,239,20,5932,0.0,0.5098693643348827,0.9853197325476403
HTTP Request: Magazine List,3642,249,188,447,37,6736,0.0,0.5096610292353992,1.4145885252485122
HTTP Request: News List,3639,606,201,671,53,16595,0.0,0.5091666080171284,1.3970796622570143
HTTP Request: Academic Journal List,3636,212,175,379,28,3936,0.0,0.5091519930723962,1.4040664165739896
HTTP Request: Case Overview List,3632,318,281,409,106,8959,0.0,0.5087002163236466,7.7894098284835005
HTTP Request: Website List,3631,156,133,280,20,5075,0.0,0.508982539557938,0.9026959500861387
HTTP Request: Audio List,3629,198,172,340,26,3301,0.0,0.5088632508186822,1.36463437609285
HTTP Request: View Full List Page,2951,594,502,807,185,13758,0.0,0.4141253366961078,18.920780681735415
HTTP Request: Sidebar Limiter Ajax Calls,13379,235,129,531,13,6041,0.0,1.8928343648967014,1.7910442488762401
HTTP Request: View Document,3909,588,543,808,167,3976,0.0,0.553673779205265,31.10137899331371
HTTP Request: MLA7 Citation - Get Bookmark,5594,16,9,17,6,6114,0.0,0.7929790311338537,0.34275415919734475
HTTP Request: MLA7 Citation - Get Citation,5586,24,15,32,10,2879,0.0,0.7919099859480634,0.9407228825232866
HTTP Request: Bookmark Tool,5577,13,8,14,6,4734,0.0,0.790648318862215,0.5440990319980776
HTTP Request: Translate Form,5571,19,9,17,6,5550,0.0,0.790768098277244,1.1494171573984084
HTTP Request: Email Form,5569,16,10,18,7,3814,0.0,0.790519444663284,1.1611095356141856
HTTP Request: Related Subjects,5566,15,10,17,6,3009,0.0,0.7903656612673966,0.9928371780708318
HTTP Request: View More,1142,515,483,690,181,6880,0.0,0.1622127984761656,4.480599920358416
HTTP Request: Clear Document In Session,5563,15,9,16,6,3485,0.0,0.7901466735506816,0.2547692994621094
HTTP Request: Subject Linking Portlet,2112,16,9,15,6,2900,0.0,0.30003179314171646,0.4492648308773202
HTTP Request: Subject Linking Ajax,2111,536,504,868,7,4980,0.0,0.3003032052352622,1.8686990373208885
HTTP Request: Print Document Tool (Audit Logging),1563,150,107,150,64,3427,0.0,0.2224497797917967,2.4434074490877493
HTTP Request: Download,1562,20,12,22,7,4255,0.0,0.22274611449207324,0.26541383927705625
HTTP Request: Download Citation Pop Up,1566,10,7,11,5,1009,0.0,0.22288746872850385,0.2938081167777332
HTTP Request: Download Citation CSS,1065,15,7,13,5,2900,0.0,0.15165858960074916,0.3036371674778621
HTTP Request: Download Citation i18n,1564,10,7,11,5,491,0.0,0.2228024646739142,0.37951066924112253
HTTP Request: Download Citation,1563,22,13,23,9,5029,0.0,0.22271400742864497,1.4684619036059436
HTTP Request: Perform Related Subjects Search,694,686,611,977,196,3838,0.0,0.09939280164104104,11.457858860780545
HTTP Request: Sort By Content Level,213,496,445,652,154,3823,0.0,0.030520599757010176,0.6872408939444264
HTTP Request: Go To Home Page,1124,204,174,268,65,2949,0.0,0.1611179868164204,2.7947298245143455
HTTP Request: Sort By Relevance,282,528,413,662,146,12506,0.0,0.04064416680539011,0.8973586775206049
HTTP Request: Sort By Title,282,479,418,666,143,3497,0.0,0.04079132863143357,1.1319983572449595
HTTP Request: Follow Spotlight Links,564,656,586,792,227,3761,0.0,0.08190150907886941,3.4637415364356436
HTTP Request: Portal Page Ajax Calls,7298,352,258,710,8,7125,0.0,1.0599628446567662,4.414891469682855
HTTP Request: Full List Pagination,173,740,493,941,225,12466,0.0,0.025218478760137136,0.8080389110103295
HTTP Request: Save Highlight,78,7,4,6,3,132,0.0,0.01149634342584549,0.007804853043200016
HTTP Request: Save Note,78,12,4,6,3,632,0.0,0.011497041575365909,0.008139131596022258
HTTP Request: Featured Links,547,576,549,749,220,5516,0.0,0.08157043517603481,2.0335998741902794
TOTAL,235040,151,13,462,2,16595,0.0,32.63186304835802,730.5384119977666
