sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Login MSIC,11824,1061,1233,1656,11,10479,0.0,1.6417848689751815,2529.675834379293
HTTP Request: Login/ Ajax MarkList,11819,13,5,8,3,3008,0.0,1.6430738646434666,0.29106842940753275
HTTP Request: Search Assist,29267,51,35,97,7,3146,0.0,4.069033000223285,0.6215014694579915
HTTP Request - Basic Search,16945,447,333,820,27,8477,0.0,2.357704301443313,166.12042737808116
HTTP Request: Search Topic / Ajax MarkList,3075,11,5,8,3,1051,0.0,0.42818346749516567,0.07583721007627792
HTTP Request: Navigate To Advanced Search,12325,114,72,108,33,11982,0.0,1.715039834844099,21.660027839436303
HTTP Request - Suggested Topics,16940,73,55,140,10,3217,0.0,2.3580545799154997,1.6066806535941958
HTTP Request: Basic Search / Ajax MarkList,16931,13,5,8,3,3054,0.0,2.3575184942180853,0.41761407377169824
HTTP Request: Navigate To Advanced Search / Ajax Marklist,12320,13,5,8,3,3009,0.0,1.7154977818975716,0.3039123016072766
HTTP Request - Browse Topics,1538,260,88,1091,20,3419,0.0,0.2141655023100075,73.6463300491867
HTTP Request: Browse Topics / Ajax MarkList,1536,13,5,8,3,1050,0.0,0.2140942301744352,0.03791006981269961
HTTP Request: Retrieve Document,22363,277,207,430,58,9315,0.0,3.11554690365795,116.03812396683357
HTTP Request- Search Topic,3017,322,138,1095,28,7762,0.0,0.42053955908441415,108.04522084934808
HTTP Request: Retrieve Document/ Ajax MarkList,14878,12,5,8,3,3008,0.0,2.07446547446949,0.3675369006979674
HTTP Request - Browse Category,617,413,105,1123,21,4265,0.0,0.08604989024803707,48.59067062422361
HTTP Request: Advanced Search,12305,418,322,692,63,11590,0.0,1.7153093836832745,81.13835707770909
HTTP Request: Browse Category / Ajax MarkList,616,11,5,8,3,1011,0.0,0.08611242788258906,0.015244388704160334
HTTP Request: Retrieve Document/ Scribble,13122,12,5,8,3,3009,0.0,1.8302980866815337,0.6073541047070826
HTTP Request - Curriculum Standards,1532,87,43,61,10,4524,0.0,0.21394066414332125,3.90675349633089
HTTP Request: Curriculum Standards / Ajax MarkList,1532,14,5,8,3,3006,0.0,0.21394735666085712,0.03789978531946865
HTTP Request: Advanced Search/ Ajax MarkList,12296,13,5,8,3,3097,0.0,1.7158240392864537,0.30399215043817984
HTTP Request: Read More,1230,296,182,478,79,3287,0.0,0.17172887556818872,21.685030903300515
HTTP Request - PortalTabResults,11046,419,318,805,52,9445,0.0,1.542787850887864,53.34091214974764
TOTAL,229074,190,39,455,3,11982,0.0,31.80372583159661,3225.7627327167447
