sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Home Page / Product Page,19391,812,644,1460,309,12979,0.0,2.6672366748550322,2504.5164130521816
HTTP Request: Saved Item Count,135986,11,5,8,3,6163,0.0,18.726744944256723,7.365492528206277
HTTP Request: Bread Crumb,135251,14,8,14,5,9904,0.0,18.630543286042638,14.01160225292914
HTTP Request: Header Bookmark Tool,110276,15,9,15,5,9467,0.0,15.192469728305584,14.45849769772109
HTTP Request: FavIcon Servlet,789462,0,0,0,0,5273,0.0,108.77305527976344,1.4818005305731756
HTTP Request: Search Assist,19694,62,43,127,4,5288,0.0,2.740002760315566,4.657611599304439
HTTP Request: Perform Basic Keyword Search,19688,835,734,1306,39,11089,3.04754164973588E-4,2.740069960299047,200.7450643536059
HTTP Request: Go To Advanced Search Page,15999,295,250,378,56,11572,1.8751171948246765E-4,2.228010770320206,50.89071562195152
HTTP Request: Saved Item List,94293,9,5,8,3,5786,0.0,13.136914223235173,5.154003103512916
HTTP Request: Navigation Portlet,73684,121,69,289,9,9675,0.0,10.272245739821543,11.432596043960679
HTTP Request: Add Search To History,73678,14,9,14,6,9345,0.0,10.273725238436935,3.3146019329312373
HTTP Request: Perform Advanced Search WIth Default Date Range,12780,807,692,1245,227,14088,0.0,1.7816847823207798,117.43927308916399
HTTP Request: Suggested Portals,34634,142,125,246,20,9353,0.0,4.830398399778856,16.54189624055911
HTTP Request: Reference List,34629,131,107,221,8,10787,0.0,4.831574378326687,12.373550683124886
HTTP Request: Biographies List,34623,63,35,131,8,9746,0.0,4.831087067845637,7.160190081554158
HTTP Request: Primary Sources List,34611,151,134,258,21,8104,0.0,4.8301911017360135,7.64809477423591
HTTP Request: Magazine List,34602,284,247,475,21,9914,0.0,4.830484233638414,13.629008811695225
HTTP Request: News List,34589,376,284,660,26,9412,0.0,4.82936382775916,13.165419450716936
HTTP Request: Academic Journal List,34576,243,214,407,20,9654,0.0,4.829086699815893,12.395009901261826
HTTP Request: Case Overview List,34568,342,298,426,40,13542,0.0,4.828766530088155,73.66656066060251
HTTP Request: Perform Advanced Search WIth New Date Range,3194,1267,1095,2127,297,12989,0.0,0.44619588669977234,34.38792873623746
HTTP Request: Statistics List,34559,182,160,317,21,8325,0.0,4.828264719508263,7.633324613125143
HTTP Request: Viewpoint List,34555,225,202,355,22,10492,0.0,4.829225289124621,12.02177432242706
