sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Home Page / Product Page,15255,774,608,1425,325,10711,0.0,2.0878206765278047,1984.4629242282163
HTTP Request: Saved Item Count,62333,8,5,7,4,4147,0.0,8.541443052090429,3.3593378361738124
HTTP Request: Bread Crumb,61479,13,9,13,5,7371,0.0,8.424215766474967,5.6714731394108435
HTTP Request: Header Bookmark Tool,50276,12,9,15,6,8090,0.0,6.890036923833407,6.065924914712221
HTTP Request: FavIcon Servlet,309970,0,0,0,0,2184,0.0,42.485150345513084,1.1601640577231704
HTTP Request: Browse Items,1328,396,372,491,170,5132,0.0,0.1849666927634985,6.286285257491255
HTTP Request: Search Assist,6749,42,31,77,5,2251,0.0,0.9392466487584937,1.5816813559644598
HTTP Request: Go To Advanced Search Page,5474,380,344,457,162,6154,0.0,0.7620214309827,25.151329479825364
HTTP Request: Perform Basic Keyword Search,6748,1102,901,1850,270,10624,0.0,0.9391861648469355,162.37513227964962
HTTP Request: Topic Page,1328,718,667,885,310,4516,0.0,0.1849269754288029,7.969408581504616
HTTP Request: Display Group Ajax Calls,17940,276,209,494,9,4458,0.0,2.498973387187092,10.32209023152661
HTTP Request: Perform Advanced Search WIth Default Date Range,4377,1128,949,1884,305,7543,0.0,0.6099505977641276,156.11960656048237
HTTP Request: Saved Item List,34226,7,5,7,4,4086,0.0,4.770972813707215,1.871872015615436
HTTP Request: Map Page,870,1020,740,1653,388,4603,0.0,0.1214237563485783,71.04682041600896
HTTP Request: Map Ajax Calls,870,401,350,493,176,5429,0.0,0.12144428241016368,0.33939006628868645
HTTP Request: Perform Advanced Search WIth New Date Range,1094,1497,1291,2443,385,10825,0.0,0.1526989682211673,25.896604309804502
HTTP Request: Navigation Portlet,23864,115,70,270,9,7002,0.0,3.329350687327317,3.835569506927125
HTTP Request: Add Search To History,23867,13,9,15,6,6256,0.0,3.3303407197956503,1.0739067801987683
HTTP Request: Suggested Portals,11308,149,119,258,22,7330,0.0,1.5784989128626163,17.85246520341146
HTTP Request: Reference List,11305,124,103,203,10,6934,0.0,1.5782480148697347,5.114602407756603
HTTP Request: Biographies List,11301,105,91,190,9,3245,0.0,1.5782789929683418,4.1450938707477345
HTTP Request: Primary Sources List,11300,158,140,275,22,8333,0.0,1.5783099429196528,2.9611133434128676
HTTP Request: Creative Works List,11296,130,115,233,21,3332,0.0,1.5778841434097775,1.8660578711551297
HTTP Request: Magazine List,11292,290,236,497,45,6484,0.0,1.577890528604506,4.993355233705471
HTTP Request: Critical Essay List,11290,196,172,323,22,6861,0.0,1.577785672140889,4.193014527533198
HTTP Request: Plot Summary List,11286,148,130,260,21,6639,0.0,1.5775961773136469,2.674921352362732
HTTP Request: News List,11283,333,244,596,25,7027,0.0,1.5775347199550802,4.761939133137471
HTTP Request: Academic Journal List,11278,248,216,399,23,8206,0.0,1.5770424678603134,4.699510962187827
HTTP Request: Website List,11272,139,124,240,22,4884,0.0,1.5763875272951948,1.8430832428883555
HTTP Request: Audio List,11266,218,194,350,22,4936,0.0,1.5768349426399346,4.024991860872029
HTTP Request: View Full List Page,9410,624,551,835,168,7443,0.0,1.3175304355131157,57.17005487449508
HTTP Request: View More,2597,615,554,817,200,6230,0.0,0.3644061743904546,28.98692513943763
HTTP Request: MLA7 Citation - Get Bookmark,10395,13,10,17,7,3396,0.0,1.4589958992320167,0.6243465626944363
HTTP Request: MLA7 Citation - Get Citation,10385,23,15,28,11,5031,0.0,1.4598710477699048,1.723446779924756
HTTP Request: Bookmark Tool,10378,13,9,14,6,3650,0.0,1.4593061279186297,0.9979055486062276
HTTP Request: Sidebar Limiter Ajax Calls,30175,124,103,230,16,5084,0.0,4.245457360624132,4.766657214192786
HTTP Request: Translate Form,10371,15,10,17,7,5901,0.0,1.4599214195993782,2.1164300969184553
HTTP Request: View Document,32735,521,469,688,156,9989,0.0,4.608768557033775,162.8210566094243
HTTP Request: Email Form,10368,15,11,19,8,3683,0.0,1.459768304020403,2.131420982340788
HTTP Request: Subject Linking Portlet,3541,16,9,16,7,6840,0.0,0.49892549961590765,0.7453070337558113
HTTP Request: Subject Linking Ajax,3539,473,414,942,6,4190,0.0,0.49912149539564293,3.5695933545918335
HTTP Request: Sort By Content Level,738,493,449,657,176,4387,0.0,0.10412132815360294,2.3610945990499985
HTTP Request: Related Subjects,10361,15,10,18,7,3461,0.0,1.4616677938479883,1.6784010042423776
HTTP Request: Clear Document In Session,10354,13,9,16,6,3225,0.0,1.4616900689072376,0.4713458357079562
HTTP Request: Sort By Title,932,486,451,659,150,2144,0.0,0.13194545216446463,4.641115968567394
HTTP Request: Go To Home Page,2574,251,222,303,94,6281,0.0,0.36389283907242104,6.175973074271391
HTTP Request: Sort By Relevance,933,462,422,632,143,4126,0.0,0.13217946656447432,2.9460187321980964
HTTP Request: Download,5211,17,14,23,8,2142,0.0,0.7381169335299568,0.8672327304221601
HTTP Request: Download Citation Pop Up,5219,13,8,12,6,4027,0.0,0.7395123922524492,0.9157302796016439
HTTP Request: Download Citation CSS,5217,7,8,11,0,3660,0.0,0.7394642293215072,0.9325069864274225
HTTP Request: Full List Pagination,555,593,512,757,215,4679,0.0,0.07881784032584858,3.100701771239242
HTTP Request: Download Citation JS,5217,0,0,0,0,1,0.0,0.7394651726361317,0.0
HTTP Request: Download Citation i18n,5215,13,8,12,6,3437,0.0,0.7392796651736477,1.2592487594029569
HTTP Request: Download Citation,5210,24,15,23,11,5029,0.0,0.7387496300934554,4.819963309861372
HTTP Request: Print Document Tool (Audit Logging),5211,254,224,307,91,6899,0.0,0.7390444216612204,8.335253533117372
HTTP Request: Perform Related Subjects Search,1878,759,649,1132,227,7612,0.0,0.26657233961372845,31.80875393360099
HTTP Request: Follow Spotlight Links,1292,723,671,869,286,3846,0.0,0.18412938652278352,8.263030709177823
HTTP Request: Portal Page Ajax Calls,18552,309,218,576,9,7726,0.0,2.6447936114377346,10.323399776549724
HTTP Request: Save Highlight,253,12,6,8,5,1048,0.0,0.03656242137453605,0.024805859684409945
HTTP Request: Save Note,253,7,6,8,5,121,0.0,0.036562701420020174,0.025877222575083604
HTTP Request: Featured Links,1265,629,601,777,246,7845,0.0,0.18399729691243807,4.508450101996684
TOTAL,983859,112,9,368,0,10825,0.0,134.64541099217098,2872.6185224021892
