sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Home Page / Product Page,4480,898,734,1508,415,6051,0.0,0.6199561104285751,593.4767327814369
HTTP Request: Saved Item Count,12237,10,6,7,4,5673,0.0,1.6943370070506685,0.6663469682814768
HTTP Request: Bread Crumb,12243,13,9,13,6,5743,0.0,1.694875131185661,1.027941684867574
HTTP Request: Header Bookmark Tool,10128,13,9,14,6,4880,0.0,1.4019504663547806,1.1804826268205943
HTTP Request: FavIcon Servlet,56829,0,0,0,0,4919,0.0,7.870069417920365,0.3440912802946917
HTTP Request: Search Assist,928,78,60,125,9,3820,0.0,0.12915322248423997,0.2127520558047693
HTTP Request: Go To Advanced Search Page,761,308,269,372,130,3176,0.0,0.10629554575569289,2.808061117738869
HTTP Request: Perform Basic Keyword Search,927,978,807,1749,214,4313,0.0,0.12911712301978626,22.017024074606645
HTTP Request: Browse Items,311,303,279,348,117,2014,0.0,0.043431508092784225,1.0027050864440628
HTTP Request: Perform Advanced Search WIth Default Date Range,609,946,803,1694,335,4245,0.0,0.08505010484624993,16.657264525159608
HTTP Request: Topic Page,311,737,676,903,380,6734,0.0,0.04343808989729196,3.128433429206738
HTTP Request: Saved Item List,5481,8,6,7,4,4763,0.0,0.764900274085776,0.30012284535993994
HTTP Request: Display Group Ajax Calls,3713,327,245,600,9,3185,0.0,0.5178157630202842,3.181836600371815
HTTP Request: Navigation Portlet,3617,117,82,271,10,3290,0.0,0.5050382346197916,0.5464363357381643
HTTP Request: Add Search To History,3615,14,9,14,7,4018,0.0,0.5052403133971423,0.16293828134051785
HTTP Request: Suggested Portals,1735,144,116,241,25,5045,0.0,0.2425663887429063,5.305918846635968
HTTP Request: Reference List,1735,126,100,193,10,3722,0.0,0.24258945153950623,0.8108285883908573
HTTP Request: Biographies List,1733,118,97,199,10,5594,0.0,0.24244486268009713,0.6928254542483601
HTTP Request: Perform Advanced Search WIth New Date Range,152,1454,1345,2180,311,4223,0.0,0.021391701905508067,3.5272735051527966
HTTP Request: Primary Sources List,1733,146,135,256,23,1392,0.0,0.24243668877088656,0.5289335003017519
HTTP Request: Magazine List,1730,241,210,399,28,3307,0.0,0.2422844652102616,0.7398006632134595
HTTP Request: News List,1730,345,236,572,24,6934,0.0,0.24227883268657957,0.7372830221497471
HTTP Request: Academic Journal List,1730,221,197,365,24,3597,0.0,0.24228168284655488,0.7108436968126934
HTTP Request: Case Overview List,1729,119,108,210,23,1296,0.0,0.24251537111233765,0.26045620705749184
HTTP Request: Website List,1729,134,115,232,23,3896,0.0,0.24248425044457783,0.2422451211264228
HTTP Request: Audio List,1729,200,174,333,23,4695,0.0,0.24245075788648565,0.574517023305211
HTTP Request: View Full List Page,1437,627,538,829,210,5831,0.0,0.20171263431366326,12.06479794003604
HTTP Request: View More,602,639,575,792,237,3641,0.0,0.08520761784411705,11.618971825320916
HTTP Request: MLA7 Citation - Get Bookmark,1870,18,10,16,7,5049,0.0,0.26423211392332263,0.1130217100593731
HTTP Request: MLA7 Citation - Get Citation,1870,37,17,44,10,5463,0.0,0.2643852435143614,0.3184673569760662
HTTP Request: Bookmark Tool,1870,10,9,14,6,1008,0.0,0.26446331483692936,0.1807745584682426
HTTP Request: Sidebar Limiter Ajax Calls,4700,113,91,207,17,2519,0.0,0.6646671028957,0.7107220367125339
HTTP Request: Translate Form,1869,16,10,16,7,3367,0.0,0.26451211243279105,0.3849609742912342
HTTP Request: Email Form,1867,17,11,18,8,4185,0.0,0.26437981197455046,0.38866006798363306
HTTP Request: View Document,3414,518,462,702,184,7221,0.0,0.4833167933473865,20.085263122479187
HTTP Request: Subject Linking Portlet,831,17,9,15,7,1012,0.0,0.11784054854988059,0.176825770949809
HTTP Request: Subject Linking Ajax,831,374,389,600,7,3850,0.0,0.11782185250830814,0.8310693821395825
