sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request : Launch,23684,121,53,250,34,3442,0.0,0.822382413100006,134.4050016112722
HTTP Request : Login,23675,1602,1547,2710,376,210274,0.0,0.8223076380170865,801.4660326960241
HTTP Request : Login / Ajax Marklist,23674,11,5,8,3,3052,0.0,0.8223286865892239,0.1456772066715644
HTTP Request : Basic search,11805,2037,1542,3386,430,38307,0.0,0.41005209450476354,14.499446600364635
HTTP Request :  Basic Search/ Ajax Marklist,11804,12,5,8,3,3011,0.0,0.41009822762800213,0.07266985204865674
HTTP Request: Ajax BrowseIndex Search Results (SU),23472,724,401,1531,105,20766,0.0,0.8153845047555238,1.7005534702514578
HTTP Request: Ajax BrowseIndex Search Results (TY),23469,688,380,1445,102,20225,0.0,0.8153412701230596,1.3115558635944546
HTTP Request: Ajax BrowseIndex Search Results (PO),23469,693,389,1444,103,20860,0.0,0.815328495326183,1.7449497850608535
HTTP Request: Ajax BrowseIndex Search Results (WO),23469,678,383,1395,103,19717,0.0,0.8153411851452611,1.8655732784437742
HTTP Request: Ajax BrowseIndex Search Results (PU),23469,670,379,1399,105,20301,0.0,0.8153644130694692,1.8743302262547654
HTTP Request: Ajax BrowseIndex Search Results (AU),23468,693,404,1423,106,22443,0.0,0.8153527291715995,1.620187981290629
HTTP Request : RetrieveDocument,177592,1103,705,2425,93,23037,0.0,6.171426744540422,263.7484410016649
HTTP Request :  Retreive Doc / Ajax Marklist,177559,12,5,8,3,4615,0.0,6.171518289638673,1.0932186600343905
HTTP Request : View Document/Retrieval of Callisto images,9073,98,44,112,19,6298,0.0,0.3153736393798196,139.95121707263317
HTTP Request: Navigate to NGrams Search Form,5275,1097,813,1941,68,8121,0.0,0.18339110703668027,5.133289897852197
HTTP Request :Navigate To NGram Search / Ajax Marklist,5275,9,5,8,3,1051,0.0,0.18340046717574926,0.032480040748802376
HTTP Request : DVI Document Image Tiles,81636,461,269,979,3,6193,0.0,2.8383103896637607,1043.8872384659264
HTTP Request: NGram Search,5274,2626,852,6618,201,27458,0.0,0.18335957929510863,0.1979593527509413
HTTP Request : Navigate To Advance Search,17621,918,98,2449,33,12997,0.0,0.6139325727760605,8.82578636990643
HTTP Request : Navigate To Advance Search/ Ajax Marklist,17620,12,5,8,3,3007,0.0,0.613940940205602,0.10875095419775846
HTTP Request : Advance Search/ Single Term,10572,3639,3076,6635,401,32292,0.0,0.36833122160714843,6.559878289538895
HTTP Request : Advance Search/ Ajax Marklist,17619,13,5,8,3,5360,0.0,0.6139390186662689,0.10875579934379365
HTTP Request : AdvancedSearch - Multiple Search Terms,7048,3646,3039,6658,393,27816,0.0,0.24567993036187033,4.2735580657461005
HTTP Request: Retrieve Carrot page,587,164,75,154,22,3078,0.0,0.02053590526363589,1.390912434344577
HTTP Request : Retrieve Topic Finder/ Ajax Marklist,587,9,5,8,3,1050,0.0,0.02053597423396443,0.00363963081461067
HTTP Request: Download Citation JS,10653,16,9,13,0,5024,0.0,0.371687236756431,0.891328772799905
HTTP Request: Download Citation/en,10653,17,8,13,5,3012,0.0,0.37168683473926883,0.5638613844248632
HTTP Request: Download Citation CSS,10653,12,8,11,0,3013,0.0,0.3716866013103479,0.4665377477806005
HTTP Request: Download Citation Pop Up,10653,17,8,12,5,5031,0.0,0.3716863808499696,0.42982783124546864
HTTP Request: Get Citation,10653,31,16,29,10,3026,0.0,0.37168609554869175,1.961824978565596
HTTP Request: Download Citation,10653,22,13,20,9,3015,0.0,0.3716859788346589,0.23682836340571678
HTTP Request: Retrieve Carrot Results,587,9352,8504,14775,3106,31666,0.0,0.020529398273194322,27.673499566237773
TOTAL,833301,608,196,1655,0,210274,0.0,28.931606327171185,2465.7231913981173
