sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Omni Build Staging,6,2403,1764,3249,1733,3266,100.00%,.2,.3,681.25
Omni Build Production,6,3206,2989,3439,2911,3506,0.00%,.2,1.0,253.41
Blis Build Info - Staging,6,61,14,132,1,135,100.00%,.2,.3,58.67
Blis Build Info - Production,6,52,13,101,0,101,100.00%,.2,.3,48.18
InContext Build Staging,6,2911,2861,3074,2605,3231,0.00%,.2,.8,217.34
InContext Build Production,6,2267,2028,2606,1955,2882,0.00%,.2,.8,350.32
World Scholar Build Staging,6,18,1,14,1,92,100.00%,.2,.3,33.28
World Scholar Build Production,6,26,1,11,1,140,100.00%,.2,.3,51.11
BIG Build Staging,6,626,556,726,547,810,0.00%,.2,.4,103.39
BIG Build Production,6,743,624,880,587,901,0.00%,.2,.4,144.19
BIE Build Staging,6,302,303,305,297,307,0.00%,.2,.5,3.85
BIE Build Production,6,327,324,336,314,340,0.00%,.2,.5,9.36
Ocean Build Staging,6,48,12,91,0,105,100.00%,.2,.3,44.84
Ocean Build Production,6,50,13,97,0,98,100.00%,.2,.3,46.36
NATGEO Build Staging,6,50,12,95,1,96,100.00%,.2,.3,44.63
NATGEO Build Production,6,52,12,97,1,98,100.00%,.2,.3,44.48
NCCO Build Staging,6,54,11,103,1,103,100.00%,.2,.3,47.61
NCCO Build Production,6,10029,10013,10092,9879,10096,100.00%,.1,.2,75.94
GDC Build Staging,6,53,14,95,13,99,100.00%,.2,.3,40.16
GDC Build Production,6,66,13,126,13,126,100.00%,.2,.3,53.84
Rendering Services Build Staging,6,5059,96,10023,95,10023,100.00%,.1,.2,4963.50
Rendering Services Build Production,6,57,13,101,12,103,100.00%,.1,.2,44.34
Auth Build Staging,6,53,13,94,12,95,100.00%,.1,.2,40.67
Auth Build Production,6,529,516,520,486,622,0.00%,.1,.1,42.93
Auth Build Production_galeauth-as01,6,31,1,76,1,98,100.00%,.1,.2,40.11
Ocean RT Main Batch ID,6,5005,12,10012,1,10013,100.00%,.1,.2,5001.00
RunTimeBatch ID,6,51,13,97,1,98,100.00%,.2,.3,46.34
Ocean Incremental Batch ID,6,52,16,94,7,96,100.00%,.2,.3,41.59
Debug Sampler,6,1,1,1,0,5,0.00%,.2,2.2,1.70
TOTAL,174,1179,97,3231,0,10096,68.97%,2.5,6.0,2576.32
