sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Home Page / Product Page,1592,1547,1401,2421,430,11077,0.0,0.05527700620289953,53.425469411633564
HTTP Request: Saved Item Count,4757,9,6,9,4,3449,0.0,0.16521792737809013,0.06499624112500661
HTTP Request: Bread Crumb,4757,12,9,14,6,4647,0.0,0.16521668792047203,0.08750847274945749
HTTP Request: Header Bookmark Tool,3977,14,10,16,6,4339,0.0,0.1382128697137791,0.10944033301412659
HTTP Request: FavIcon Servlet,21157,0,0,0,0,156,0.0,0.7348790396811757,0.03069306989909472
HTTP Request: Search Assist,370,49,36,104,8,294,0.0,0.012873036235718236,0.021871080627983586
HTTP Request: Perform Basic Keyword Search,370,1008,820,1628,229,6131,0.0,0.012872604943129005,0.6420602432649226
HTTP Request: Saved Item List,1627,7,6,9,4,190,0.0,0.05657786538286262,0.022197376903934713
HTTP Request: Navigation Portlet,910,134,122,261,0,1027,0.001098901098901099,0.03166758253259299,0.03179315314284575
HTTP Request: Add Search To History,909,18,10,16,8,2061,0.0,0.03163306700193309,0.010198124310506148
HTTP Request: Suggested Portals,495,164,76,299,23,4231,0.0,0.017226064852688957,0.0998203015847214
HTTP Request: Reference List,495,52,22,123,10,774,0.0,0.017226537846964658,0.026986237486181792
HTTP Request: Biographies List,495,46,18,106,10,760,0.0,0.01722676026516543,0.0220485402513172
HTTP Request: Primary Sources List,495,90,76,160,23,1159,0.0,0.01722693532611737,0.012152520751322681
HTTP Request: Creative Works List,495,91,65,148,24,4279,0.0,0.017227112788796017,0.007822315049630093
HTTP Request: Magazine List,494,140,127,258,22,561,0.0,0.017216092948500916,0.03518609786205749
HTTP Request: Critical Essay List,494,101,86,196,21,372,0.0,0.017216026350138986,0.020993127019877263
HTTP Request: Plot Summary List,494,84,65,153,22,795,0.0,0.017215934553241444,0.00874518942703244
HTTP Request: News List,494,146,124,253,21,3233,0.0,0.017215839157502834,0.03353208183606646
HTTP Request: Academic Journal List,494,123,115,221,21,520,0.0,0.017215709564985505,0.030589657524822855
HTTP Request: Website List,494,84,72,151,21,307,0.0,0.017215605172432057,0.009441465652985813
HTTP Request: Audio List,494,115,102,200,23,1207,0.0,0.01721550918039679,0.020261445745653885
HTTP Request: View Full List Page,310,531,478,747,185,3249,0.0,0.010814312875653473,0.3491427007430375
HTTP Request: Sidebar Limiter Ajax Calls,1112,83,56,160,18,1482,0.0,0.03897079258251242,0.04438688973867841
HTTP Request: View Document,59,751,669,977,303,2994,0.0,0.002069593265641732,0.18788488816803708
HTTP Request: MLA7 Citation - Get Bookmark,717,12,11,18,8,155,0.0,0.025083834934232423,0.01073509474885134
HTTP Request: MLA7 Citation - Get Citation,717,71,36,76,12,5079,0.0,0.025083767363555762,0.02894775970471543
HTTP Request: Bookmark Tool,717,16,10,16,7,1014,0.0,0.02508378228172579,0.017152343948700202
HTTP Request: Translate Form,717,13,11,18,8,141,0.0,0.02508376122078503,0.03637348313431917
HTTP Request: Email Form,717,15,12,21,8,358,0.0,0.025083745425102666,0.03654831341679865
HTTP Request: Go To Advanced Search Page,367,422,346,482,182,3301,0.0,0.012902001947745276,0.42441766554938376
HTTP Request: Subject Linking Portlet,421,11,10,16,7,148,0.0,0.01475476770002611,0.022026189274580617
HTTP Request: Subject Linking Ajax,421,397,405,666,8,1042,0.0,0.014753653929882787,0.09886834502446513
HTTP Request: Browse Items,236,435,385,516,202,2841,0.0,0.008255746804361329,0.3050650533826733
HTTP Request: Related Subjects,717,14,12,20,8,185,0.0,0.025088159337034368,0.024702820069628213
HTTP Request: Clear Document In Session,717,12,10,17,7,178,0.0,0.02508814529150273,0.00809024071585541
HTTP Request: Topic Page,235,1015,947,1241,513,3937,0.0,0.008277035987073172,0.36622344901861825
HTTP Request: Display Group Ajax Calls,2893,299,230,546,10,2368,0.0,0.10169034807449695,0.6949063803786346
HTTP Request: Perform Advanced Search WIth Default Date Range,110,777,632,1252,307,3710,0.0,0.0038967933570867685,0.31964478445826316
HTTP Request: Go To Home Page,468,261,206,311,96,2886,0.0,0.016424434912579014,0.28020624311853903
