sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
location,50,0,1,1,0,1,0.0,0.9869135266367961,0.0
HomePage/EnterProduct,50,1092,876,1718,652,2560,0.0,0.9714208000621709,641.6921019542558
NavigationBarSavedItemCount,8048,5,4,5,2,1045,0.0,1.1166939642469225,0.42302841938789126
Named User Login Dialog,50,4,5,6,3,9,0.0,1.0064817424211925,1.8540101377873506
Named User Session,50,203,160,309,121,745,0.0,1.003854802441375,0.44016680302361066
Refresh Home Page,50,87,75,82,55,507,0.0,1.0084101405723735,16.989485275951434
DisplayBrowseHelpPage,854,187,143,235,92,3145,0.0,0.11889235758811678,2.2113822706626984
BasicSearch/SubmitSearchForm,1921,1513,1200,2992,152,10461,0.0,0.2668770934431035,27.199800144995464
BasicOrAdvancedSearch/searchResults/Bookmark,1985,15,9,11,7,3863,0.0,0.27602410156240764,0.1747334246831737
Help/ViewDocument,854,279,203,341,125,5197,0.0,0.11883939829413975,2.752993230381167
DetailsPage/Email,3044,7,7,8,5,1049,0.0,0.4237222074980456,0.6135622506682255
AdvancedSearch/GoToAdvancedSearchPage,226,469,241,407,89,5616,0.0,0.03143493670519857,3.3415152713547887
GetSavedDocumentIds,4099,4,4,5,3,1004,0.0,0.5705076627432608,0.22002728226900042
BrowseByDateSearch/SubmitDate,582,501,514,607,72,3087,0.0,0.08121915817598517,1.3451650510752677
BrowseByDate AJAX Call: Get Publications JSON Object,582,6,4,7,3,1007,0.0,0.08122425892284073,0.7996576046840439
DetailsPage/TranslateForm,3048,7,6,7,4,1009,0.0,0.42459916960772637,0.6184248966711174
BrowseByDate AJAX Call: Get Publications MCode Query,582,246,222,329,142,2774,0.0,0.08122091502757184,0.09948787997642082
AdvancedSearchPortletWin/SubmitSearchForm,225,1186,1065,1859,466,4793,0.0,0.031462982542519426,1.1235407851059414
AdvancedSearch/searchResults/HitCountsListWindow,195,284,237,579,18,2253,0.0,0.02726850923479529,0.03501384195850264
AdvancedSearch/searchResults/SubjectLimiter,195,179,153,352,6,606,0.0,0.027267658920460798,0.02211223059902572
BasicSearch/searchResults/HitCountsListWindow,1784,17,15,23,7,1013,0.0,0.2487516404501401,0.307548180902539
AdvancedSearch/searchResults/PublicationYearLimiter,195,586,517,1133,18,2142,0.0,0.027267304320735094,0.03431190415696347
DetailsPage/Clear Document in session,3032,7,6,7,4,1006,0.0,0.42283899568486666,0.13634668925050392
AdvancedSearch/searchResults/DatabasesAndArchivesLimiter,195,324,300,532,18,1938,0.0,0.02726850542160815,0.03148564642683993
BrowseByDate/GoToBrowseByDatePage,265,408,500,588,78,1522,0.0,0.03699426742416036,0.6272745039731843
BasicSearch/searchResults/SubjectLimiter,1782,299,258,574,5,1890,0.0,0.24880501686973408,0.23634041412177903
NGramSearch/GoToNGramSearchPage,648,154,127,152,62,1296,0.0,0.09061411197331247,2.868529747752966
NGramSearch/SubmitSearchForm,647,590,570,747,22,1307,0.0,0.0907136175300771,0.09557648346208031
savedDocuments,220,187,103,510,82,1636,0.0,0.03092353270999925,0.6121608973281787
