sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request - Login,1425,3100,3578,4474,212,7682,0.0,0.19792606815490402,2640.571154668909
HTTP Request - PerformBasicSearch,1551,672,339,1348,197,10279,0.0,0.21509885810381826,114.77272947167609
HTTP Request - GetSuggestedPortals,2202,18,6,9,3,1065,0.0,0.3052982557376176,2.272113860660393
HTTP Request - Browse Series,532,1130,1121,2202,112,4539,0.0,0.0740394357415634,254.59785455904438
HTTP Request - View All,529,769,357,1384,111,3475,0.0,0.07398805253795106,73.22189451845736
HTTP Request - Suggested Topic,463,453,274,1233,153,3408,0.0,0.06473050231289215,32.183369738706865
HTTP Request - RetrieveDocument,2022,630,356,1342,143,4485,0.0,0.28136331239481926,358.05674815447514
HTTP Request - PerformAdvancedSearch,656,455,234,1216,84,3503,0.0,0.09149516205383207,23.050356437334948
HTTP Request - Topic,525,500,305,1230,152,9267,0.0,0.07302115791527793,11.815419635817058
HTTP Request - RelatedResources,326,320,182,764,21,1736,0.0,0.04594891917852917,0.14184325529593006
TOTAL,10231,846,303,3219,3,10279,0.0,1.412460187840224,3487.683853507301
