sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HomePage/EnterProduct,70,649,688,897,290,1716,0.0,0.9366929386733752,627.4193414337758
HomePage/SavedItemServlet/SavedItemCount,70,4,4,5,3,9,0.0,0.9577233547680941,0.3769165155972089
HomePage/AjaxRequestVideos,70,64,62,67,57,140,0.0,0.9569116360454943,17.74537093996063
HomePage/AjaxRequestImages,70,62,61,66,56,133,0.0,0.9569377990430622,27.222690960355433
HomePage/AjaxRequestMonographs,70,140,140,149,113,227,0.0,0.9558793407163633,129.22433858697138
HomePage/AjaxRequestFeaturedArticles,70,128,120,146,100,388,0.0,0.9557749286582286,139.81520475771106
Home Page,70,1054,1072,1322,679,2110,0.0,0.9313960295917824,930.1695961982409
Select a type of search,3748,1,1,1,0,122,0.0,0.5204861574012354,0.0
Do a basic search,3356,762,591,1400,238,4874,0.0,0.4664552514299439,65.77731403406582
BasicSearch/ResultsList/GenerateBookMarkForTools ,3354,16,11,14,8,1010,0.0,0.4661882191151347,0.2951154715398625
BasicSearch/ResultsList/HitCountsListWindow,3350,9,8,9,6,1008,0.0,0.46648220892554526,0.15725226226465278
BasicSearch/ResultsList/SubjectLimiter,3350,8,9,10,7,99,0.0,0.46622583506266,0.15355185388962472
BasicSearch/ResultsList/PublicationYearLimiter,3345,9,8,9,6,1010,0.0,0.4662916445834475,0.15444821667492376
BasicSearch/ResultsList/PublicationTitleLimiter,3345,9,9,10,7,1008,0.0,0.4662466033342556,0.15352783244811527
Select a document type,3715,1,1,2,0,25,0.0,0.5186740819608365,0.0
View Magazine Document Request,1261,517,479,612,303,3500,0.0,0.17611635914273652,5.0742666716794425
NatGeo-Features/SavedItemServlet/SavedItemCount,1261,6,5,5,4,1044,0.0,0.1760123010404965,0.0692377517125955
NatGeo-Features/crossdomain.xml,1259,23,6,7,3,3047,0.0,0.17677549147518096,0.07129440409213499
NatGeo-Features/TranslateForm,1259,7,7,8,6,133,0.0,0.17680396568907694,0.2562073253295484
NatGeo-Features/BookMark,1259,15,11,15,9,236,0.0,0.17676583665348436,0.11189089234033896
NatGeo-Features/Email,1259,9,9,10,7,1011,0.0,0.17674968145748432,0.26356173548567835
NatGeo-Features/SavedItemServlet/SavedItemList,1259,5,5,6,4,103,0.0,0.17679882624677576,0.06935798249860134
NatGeo-Features/AuditLoggingCall,1259,228,190,277,115,3279,0.0,0.1766942154327731,2.30242739358033
NatGeo-Features/SearchResultsPreview,1258,146,23,377,9,3197,0.0,0.17704904005080097,13.85020759171471
NatGeo-Features/Get Citation for document,1258,13,11,15,9,153,0.0,0.17711063290301646,0.12199123985186343
NatGeo-Features/Get tinyurl for document,1258,18,11,16,9,1011,0.0,0.1770157314640397,0.06657987490137846
NatGeo-Features/Get tinyurl for document (for EZProxy),1257,16,11,14,9,1011,0.0,0.1769747040214228,0.066577525954882
NatGeo-Features/Get OCR text for document,1257,8,7,8,6,1010,0.0,0.17693121049662355,0.26020723604664453
Download the image viewer,5881,0,0,0,0,1074,0.0,0.8284067010650541,4.3514570574359395
Document page image tile,5880,1103,1253,2101,0,5039,0.0,0.8287800934914686,468.91231598227705
Select a full page view type,1495,1,1,2,0,23,0.0,0.21224739897556202,0.0
View Images Full List Window,512,314,254,417,137,3370,0.0,0.07281062227342351,3.0649190711533274
View Image Document Request,1242,601,544,745,300,3633,0.0,0.17666281384319568,15.985123588893329
Images/SavedItemServlet/SavedItemCount,1241,8,5,5,4,1046,0.0,0.1767646373867891,0.06952649114894878
Images/crossdomain.xml,1241,18,6,7,4,3005,0.0,0.17659429715683184,0.07053202220427819
Images/TranslateForm,1240,8,7,8,6,1047,0.0,0.17673016695584853,0.2561226202178456
Images/BookMark,1239,17,11,15,9,235,0.0,0.17668476913118863,0.11184272780142686
Images/Email,1238,8,8,9,7,36,0.0,0.1766195139168473,0.26005218309494454
Images/SavedItemServlet/SavedItemList,1238,4,5,6,4,33,0.0,0.17663423045830448,0.0692925750916629
Images/AuditLoggingCall,1236,261,209,356,114,3728,0.0,0.17657200873660012,2.3008229895344656
Images/SearchResultsPreview,1236,236,194,284,143,3436,0.0,0.17650339911845406,2.956790892863722
Images/Get Citation for document,1233,14,11,15,9,384,0.0,0.17623709363449627,0.12255102085300755
Images/Get tinyurl for document,1232,17,11,15,8,1009,0.0,0.17646053679238,0.06637425970185618
Images/Get tinyurl for document (for EZProxy),1232,15,10,15,8,196,0.0,0.17642344146285963,0.06635764953497673
Explore Topics/GoToTopicsPage,1112,189,140,185,97,3445,0.0,0.15994104043948118,3.4320802858805863
Explore Topics/ClickOnTopic,1112,293,245,353,153,3243,0.0,0.15993993622538874,3.160774419381714
Explore Topics,1112,493,405,586,261,4359,0.0,0.15993579555832982,6.592660329522393
Topic ImagesGridSWindow,1112,49,33,41,25,3158,0.0,0.1599453654248175,1.3099413449905746
Topic MonographListWin,1112,49,38,48,30,1105,0.0,0.15997166545033534,1.1658001429890619
Topic FeatureArticlesListWin,1112,59,44,55,35,3061,0.0,0.1599730002403911,2.0364903981403573
View Monograph Document Request,1212,569,523,716,303,3626,0.0,0.1751988405652967,5.055197770462849
DVI-Monographs/SavedItemServlet/SavedItemCount,1209,5,5,6,4,323,0.0,0.1748131169699291,0.06875785479688494
DVI-Monographs/crossdomain.xml,1206,14,6,7,3,3006,0.0,0.1747067505181808,0.06978669909232166
DVI-Monographs/TranslateForm,1206,8,7,8,6,1050,0.0,0.1745647316711374,0.25297202200311725
DVI-Monographs/BookMark,1205,16,11,15,9,274,0.0,0.17464142709147965,0.11054485865240297
DVI-Monographs/Email,1204,11,8,10,7,1010,0.0,0.17462866027618595,0.2592244741106484
DVI-Monographs/SavedItemServlet/SavedItemList,1203,5,5,6,4,1004,0.0,0.17450396920374842,0.06845884409832798
DVI-Monographs/AuditLoggingCall,1200,238,198,289,118,3347,0.0,0.1741792600690853,2.269648886771361
DVI-Monographs/SearchResultsPreview,1199,308,263,386,166,3252,0.0,0.17456534829790776,3.9255756916587754
DVI-Monographs/Get Citation for document,1199,13,12,14,10,97,0.0,0.17445719658488762,0.12879989808658723
DVI-Monographs/Get tinyurl for document,1199,15,11,15,9,189,0.0,0.1744048452837017,0.06560452147652393
DVI-Monographs/Get tinyurl for document (for EZProxy),1197,15,11,15,9,250,0.0,0.17449646036043942,0.06562821828071276
DVI-Monographs/hitTermCoordinates,1197,149,136,236,41,778,0.0,0.1743496046036452,0.04975741831531672
DVI-Monographs/Get OCR text for document,1196,8,7,8,6,1007,0.0,0.1750189177011587,0.0775411158180371
AdvancedSearch/GoToAdvancedSearchPage,391,239,202,233,155,3224,0.0,0.05710978062687259,1.0449801552641123
AdvancedSearch/SavedItemServlet/SavedItemCount,390,4,5,5,3,11,0.0,0.057050890271828476,0.022438931136210902
Do an advanced search,390,776,725,1092,247,3204,0.0,0.05701135929406488,1.8470072969606222
/natgeo/archive/PageFinderPortletPage/PageFinderPortletWindow,387,295,245,357,149,3238,0.0,0.05666649876592958,1.8232146550126718
/natgeo/archive/ImagesFullListPage/HitCountsListWindow,385,9,8,15,7,67,0.0,0.056495948139947946,0.01904789322940818
/natgeo/archive/ImagesFullListPage/SearchHistoryWin,384,10,8,9,6,1007,0.0,0.05637911312425002,0.01818267118034812
/natgeo/archive/ImagesFullListPage/BrowseIndexPortletWindowPublicationYear,382,24,8,19,6,564,0.0,0.056162685952521364,0.02127996199351953
/natgeo/archive/ImagesFullListPage/BrowseIndexPublicationTitleWindow,382,40,8,20,7,954,0.0,0.05616256209491649,0.0204239115177212
/natgeo/archive/ImagesFullListPage/BrowseIndexPortletWindowSubject,382,39,8,20,7,2347,0.0,0.056143585308781635,0.02028740463490282
/NATGEO-ARCHIVE/SavedItemServlet,758,5,5,6,4,79,0.0,0.11145721336968975,0.04379271132684666
View Magazine Full List Window,490,461,282,786,140,3501,0.0,0.07741602375818774,8.430771927910989
View Books Full List Window,490,467,301,817,132,3437,0.0,0.07666689875353705,7.7990541086905845
TOTAL,101748,160,9,458,0,5039,0.0,14.109714302830513,646.5112526706713
