sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Home Page / Product Page,360,1449,1226,2107,420,8026,0.0,0.05007252866687039,43.93024442322428
HTTP Request: Saved Item Count,1148,9,6,7,5,1516,0.0,0.15960664469711788,0.06277158241924467
HTTP Request: Bread Crumb,1150,12,9,14,7,1012,0.0,0.1598241767282935,0.08923729162401793
HTTP Request: Header Bookmark Tool,965,12,10,15,7,258,0.0,0.13428917538792523,0.10962147586586947
HTTP Request: FavIcon Servlet,5309,0,0,0,0,133,0.0,0.7385617869049614,0.02781825458088462
HTTP Request: Search Assist,84,40,36,70,9,121,0.0,0.012173477268277498,0.02067322961409932
HTTP Request: Perform Basic Keyword Search,84,931,700,1441,279,4184,0.0,0.012170115614649516,0.6184372945840233
HTTP Request: Saved Item List,454,14,6,8,5,3017,0.0,0.06400166009592355,0.025112435515507996
HTTP Request: Navigation Portlet,294,116,108,245,0,695,0.003401360544217687,0.04143622464691474,0.04413059225190519
HTTP Request: Add Search To History,293,12,10,15,8,135,0.0,0.04129245671373772,0.013312369190641072
HTTP Request: Suggested Portals,140,149,94,315,24,1144,0.0,0.01972871050188853,0.06503951440527027
HTTP Request: Reference List,140,61,48,129,11,1065,0.0,0.019727228789354057,0.036928970483486194
HTTP Request: Biographies List,140,54,56,107,11,205,0.0,0.01972576675464359,0.036405157421481586
HTTP Request: Primary Sources List,140,104,106,170,27,306,0.0,0.01972429937879728,0.019153455920910632
HTTP Request: Creative Works List,140,83,72,152,24,209,0.0,0.01972304616812911,0.010475942198091231
HTTP Request: Magazine List,140,166,144,274,27,1119,0.0,0.019721526412335984,0.04914368868190051
HTTP Request: Critical Essay List,140,107,91,203,26,347,0.0,0.019720498556741226,0.030235805132316093
HTTP Request: Plot Summary List,140,76,58,135,25,286,0.0,0.019719718013666607,0.008847325215687936
HTTP Request: News List,140,161,139,292,27,583,0.0,0.01971780163976055,0.04665950379377545
HTTP Request: Academic Journal List,140,136,124,245,25,417,0.0,0.01971651038046105,0.0428429758276991
HTTP Request: Website List,140,85,80,144,23,222,0.0,0.019715508035548186,0.009327184612074144
HTTP Request: Audio List,140,126,96,188,25,3092,0.0,0.019714042185515614,0.0248206336793711
HTTP Request: View Full List Page,114,578,488,744,200,3687,0.0,0.016484570008667414,0.41254805469059763
HTTP Request: Sidebar Limiter Ajax Calls,423,81,63,155,22,313,0.0,0.060814954900607086,0.07085671207684364
HTTP Request: Go To Advanced Search Page,83,467,375,865,199,2970,0.0,0.011783556231840192,0.3874326589282302
HTTP Request: Browse Items,52,395,399,508,223,654,0.0,0.007485429683097136,0.27645285397481356
HTTP Request: Topic Page,52,1061,1032,1297,457,2160,0.0,0.00748578420787447,0.3177486807654934
HTTP Request: Display Group Ajax Calls,634,347,250,672,10,4293,0.0,0.0907080867833167,0.6341931805402826
HTTP Request: View Document,23,1030,673,1236,384,8136,0.0,0.003350012023630111,0.20515779730956166
HTTP Request: MLA7 Citation - Get Bookmark,161,12,10,18,8,99,0.0,0.02306281982651889,0.009847694248032461
HTTP Request: Perform Advanced Search WIth Default Date Range,25,897,678,949,361,5498,0.0,0.003719758180008621,0.20743987066698388
HTTP Request: MLA7 Citation - Get Citation,160,47,38,75,13,220,0.0,0.023308043620420937,0.026739663665658935
HTTP Request: Bookmark Tool,160,11,9,15,7,115,0.0,0.023308556337946096,0.015911105700369674
HTTP Request: Translate Form,160,12,10,18,8,82,0.0,0.023308916272333217,0.03378768541878693
HTTP Request: Email Form,160,12,11,19,9,48,0.0,0.023309350924900475,0.03395861145213177
HTTP Request: Related Subjects,160,16,11,20,8,156,0.0,0.023309775405943377,0.024621234815684505
HTTP Request: Clear Document In Session,160,12,10,16,7,113,0.0,0.02331075007291894,0.007517659987505438
HTTP Request: Perform Related Subjects Search,34,959,828,1366,400,3499,0.0,0.004943408872982744,0.8421365937931866
HTTP Request: Perform Advanced Search WIth New Date Range,17,1308,1022,2197,444,4391,0.0,0.002444470263163041,0.2230756047152106
HTTP Request: View More,90,708,560,803,238,4980,0.0,0.01302146066932912,0.388302896030726
HTTP Request: Subject Linking Portlet,94,12,10,14,8,205,0.0,0.013947057267359004,0.020821477407325144
HTTP Request: Subject Linking Ajax,94,426,373,601,8,5448,0.0,0.013944990277078056,0.09022577922083702
HTTP Request: Go To Home Page,98,289,211,272,109,3124,0.0,0.014533883524864212,0.24351670150843915
HTTP Request: Follow Spotlight Links,50,956,852,1055,593,3301,0.0,0.007405824206765872,0.5054959581881237
HTTP Request: Portal Page Ajax Calls,635,360,241,807,34,2335,0.0,0.09344516733233472,0.3878371080398309
HTTP Request: Sort By Content Level,11,391,394,516,151,569,0.0,0.001668288698269211,0.03571521143170565
HTTP Request: Sort By Relevance,12,407,361,573,219,829,0.0,0.0018353330051146142,0.0390410041401289
HTTP Request: Sort By Title,12,372,301,629,169,713,0.0,0.0018509866298608258,0.03925182243130487
HTTP Request: Featured Links,48,656,662,842,410,929,0.0,0.0073362861885242145,0.1774764228669748
HTTP Request: Full List Pagination,4,492,428,646,314,646,0.0,6.11660263093429E-4,0.015673943572888035
HTTP Request: Download Citation Pop Up,4,17,14,29,10,29,0.0,6.491616969281506E-4,9.2904928403145E-4
HTTP Request: Download Citation CSS,4,7,9,12,0,12,0.0,6.491663324812484E-4,9.747004259667183E-4
HTTP Request: Download Citation JS,4,0,0,0,0,0,0.0,6.49171810947536E-4,0.0
HTTP Request: Download Citation i18n,4,8,8,8,8,8,0.0,6.491748662862069E-4,0.0011056259441436962
HTTP Request: Download Citation,4,16,16,19,15,19,0.0,6.491775002219376E-4,0.003993646154929781
HTTP Request: Print Document Tool (Audit Logging),4,240,231,280,209,280,0.0,6.491611701649421E-4,0.007249811662115506
HTTP Request: Download,4,24,15,52,12,52,0.0,6.491882469012217E-4,5.070198246672383E-4
TOTAL,15575,121,9,325,0,8136,6.420545746388443E-5,2.162174918909764,50.62411909484173
