sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Login,2405,705,317,1312,138,6282,0.0,0.3342252027482345,295.5703397773973
HTTP Request: Search Assist,1450,50,47,76,8,3055,0.0,0.20154455406460461,0.03077884508263952
HTTP Request: Basic Search,1448,594,369,1361,193,11461,0.0,0.20143547818528892,38.85365920527096
HTTP Request: Ajax MarkList,2982,12,5,8,3,3006,0.0,0.41485619222950143,0.08186322278640067
HTTP Request: Ajax Limit Expand Search Results (SU),2893,105,79,182,13,2213,0.0,0.40245249794600374,0.6107044721959994
HTTP Request: Navigate To Advance Search Page,1084,343,122,1106,77,9091,0.0,0.1508479491636845,24.896835568968825
HTTP Request - Navigate to Person Search,542,508,301,1275,93,11254,0.0,0.07542806820367359,12.444831999416824
HTTP Request: Retrieve Document,4509,511,253,1226,132,6405,0.0,0.6271743853579748,122.45637685015748
HTTP Request: Person Search,541,384,200,1158,101,3212,0.0,0.07539645154474926,12.398305595406196
HTTP Request: Advance Search,1084,512,291,1264,88,3508,0.0,0.15085771097917092,26.296721383943105
HTTP Request- Previous Search,82,325,90,1076,72,3157,0.0,0.011599790807675044,1.851825759772152
HTTP Request: Click on Person Link,205,393,216,1177,112,3196,0.0,0.028768869220649928,4.8538405273867005
HTTP Request: Retrieve Document/ Ajax MarkList,2990,14,5,8,3,3006,0.0,0.4165573609934851,0.08384561079847638
HTTP Request- Mark Current Document,743,90,66,150,24,1189,0.0,0.10350090775728857,0.03653259691787391
HTTP Request- Navigate To Download,752,15,6,9,4,3020,0.0,0.1048987726843596,0.17130182306255315
HTTP Request- View Mark Item,742,386,195,1161,100,4194,0.0,0.10341927540162778,16.753421585392054
HTTP Request- Print Document,691,18,9,15,6,1059,0.0,0.09632411293646777,0.015183506496022901
HTTP Request- View Mark Item/ Ajax Calls,741,9,5,8,3,1048,0.0,0.10339192488137137,0.03648293971322903
HTTP Request- Citation Tools messages/en,804,21,8,12,6,3314,0.0,0.11220320055442895,0.1702245165632997
HTTP Request: Citation Tools/ Popup Window,804,18,8,12,5,3012,0.0,0.11217982705330942,0.2004099008935179
HTTP Request: Click On Next Page Link,81,434,247,1209,109,3319,0.0,0.011326957235282716,1.8930132214170525
HTTP Request: Citation/ Ajax MLA7,802,17,12,19,9,1016,0.0,0.11235087767468985,0.08409584567395187
HTTP Request: Citation/ Ajax APA,802,17,11,17,9,1041,0.0,0.11233285935029587,0.06551528199609608
HTTP Request: Navigate to Work Search,540,380,209,1178,101,3389,0.0,0.07539397540704369,12.32644812978263
HTTP Request: Save Citation/ MLA7,802,25,12,21,9,1032,0.0,0.11231461087048585,0.06744089977517471
HTTP Request: Work Search,539,413,296,1169,77,3370,0.0,0.07527615455325767,12.066482556139043
HTTP Request: Save Citation/ APA,802,26,12,22,9,3014,0.0,0.11229674569071739,0.0622801661246225
HTTP Request: Click on Work Search Link,246,382,172,1142,94,3158,0.0,0.03466271417788144,5.679924616170325
HTTP Request: Export Citation/ ENDNOTE,802,22,12,18,9,3758,0.0,0.11227843034754374,0.06419197368995781
HTTP Request: Export Citation/ PROCITE,802,21,12,19,9,1031,0.0,0.11226062381632931,0.06418179331622362
HTTP Request: Export Citation/ REFMGR,802,25,12,21,9,4574,0.0,0.1122428229321884,0.06415863219034591
HTTP Request: Bookmark,266,565,313,1295,169,8047,0.0,0.037400517786266164,6.806429861251813
HTTP Request- Limit Expand Result,90,450,321,1228,148,1382,0.0,0.012818761653500611,2.156372752995709
TOTAL,34868,233,56,596,3,11461,0.0,4.842516819926926,598.0836912940056
