sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request : Launch,1317,118,52,249,36,3064,0.0,0.045779821721486064,7.48302879363513
HTTP Request : Login,1317,840,639,1376,180,5158,0.0,0.045780219559430214,40.502739709711605
HTTP Request : Login / Ajax Marklist,1317,13,5,8,3,1053,0.0,0.04578094045940148,0.008110843582481994
HTTP Request : Basic search,1326,334,235,535,68,4176,0.0,0.04611433998433573,1.2720210712908047
HTTP Request :  Basic Search/ Ajax Marklist,1326,14,5,8,3,1050,0.0,0.046115164311008316,0.008169283642829497
HTTP Request: Navigate to NGrams Search Form,390,608,512,710,367,3545,0.0,0.01356133625479289,0.8885116463995104
HTTP Request :Navigate To NGram Search / Ajax Marklist,390,14,5,8,3,1057,0.0,0.01356159986402236,0.0024009899759260735
HTTP Request: NGram Search,389,107,87,173,21,1121,0.0,0.013561123487137275,0.007014651268737229
HTTP Request: Ajax BrowseIndex Search Results (SU),2109,90,59,163,24,2271,0.0,0.07341673878668971,0.1533902821519452
HTTP Request: Ajax BrowseIndex Search Results (TY),2109,76,51,139,21,2049,0.0,0.07341662889081155,0.09946166153788796
HTTP Request: Ajax BrowseIndex Search Results (PO),2109,79,56,137,24,3342,0.0,0.07341634009623493,0.17091684159180132
HTTP Request: Ajax BrowseIndex Search Results (WO),2109,84,52,128,23,11935,0.0,0.07341620720037895,0.19306565299156075
HTTP Request: Ajax BrowseIndex Search Results (PU),2109,76,53,126,24,3057,0.0,0.07341598485646496,0.18463697838447515
HTTP Request: Ajax BrowseIndex Search Results (AU),2109,82,57,133,27,3046,0.0,0.07341565773223524,0.16010025761576924
HTTP Request : Retrieve Document,2321,979,791,1377,374,6215,0.0,0.08080519152988912,11.527545492076026
HTTP Request : DVI Document Image Tiles,19973,463,498,636,56,5836,0.0,0.695012273458117,8.71096501728205
HTTP Request :  Retreive Doc / Ajax Marklist,2493,14,5,8,3,3008,0.0,0.0868952848032172,0.015385289930579277
HTTP Request : Navigate To Advance Search,1312,296,89,579,32,3522,0.0,0.04576322206568627,0.5412596951997624
HTTP Request : Navigate To Advance Search/ Ajax Marklist,1312,9,5,8,3,1078,0.0,0.04576394836836002,0.008105962790456752
HTTP Request : Advance Search/ Single Term,787,319,271,512,90,2185,0.0,0.0274668196804684,0.38245868174080866
HTTP Request : Advance Search/ Ajax Marklist,1311,12,5,8,3,1021,0.0,0.04575522080680798,0.008106372481595651
HTTP Request: Download Citation JS,463,12,9,14,0,1076,0.0,0.016201383689146746,0.04224319296721029
HTTP Request: Download Citation/en,463,23,8,12,6,3012,0.0,0.016201383689146746,0.024583379931265543
HTTP Request: Download Citation CSS,463,7,8,12,0,214,0.0,0.01620136894919111,0.022112822394557433
HTTP Request: Download Citation Pop Up,463,24,8,12,6,3015,0.0,0.016201361012303024,0.020243910046614428
HTTP Request: Get Citation,463,34,16,26,12,1027,0.0,0.016201352508503,0.09658782501251581
HTTP Request: Download Citation,463,20,13,19,9,1018,0.0,0.016201358177702026,0.010559935855131306
HTTP Request : AdvancedSearch - Multiple Search Terms,525,288,231,473,52,4345,0.0,0.018366078769068317,0.2052334826900757
HTTP Request: Retrieve Carrot page,66,265,80,1065,24,3097,0.0,0.0023198026508736377,0.1577721865090752
HTTP Request: Retrieve Carrot Results,66,5169,4623,8474,1191,16890,0.0,0.002319708886375949,1.592125487382699
TOTAL,53370,297,155,630,0,16890,0.0,1.8531325283508964,74.3614806484739
