sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Login MSIC,57539,922,426,1367,5,9551176,0.10599767114478875,1.5452513257729468,2267.72680590284
HTTP Request: Login/ Ajax MarkList,51436,51,6,18,3,120701,5.443658138268917E-4,1.3913467999524025,0.24842762998317186
HTTP Request: Search Assist,137220,92,39,106,7,244005,6.04868095029879E-4,3.711904691315171,0.5729153771768689
HTTP Request - Basic Search,79470,751,471,919,29,248730,8.556688058386812E-4,2.1500491924870295,152.90705706635399
HTTP Request: Search Topic / Ajax MarkList,14417,48,6,18,3,163290,2.774502323645696E-4,0.3900720243899317,0.0695241508885279
HTTP Request: Navigate To Advanced Search,57777,261,127,267,47,244633,5.365456842688267E-4,1.563154180376202,19.958347167645424
HTTP Request - Suggested Topics,79392,114,71,160,10,175049,2.7710600564288595E-4,2.148117333116877,1.476148267415472
HTTP Request - Browse Topics,7204,265,120,310,30,173927,5.55247084952804E-4,0.1949297695423588,68.05749109308749
HTTP Request: Navigate To Advanced Search / Ajax Marklist,57741,36,7,19,3,174847,2.0782459604094144E-4,1.5623475459040552,0.2778017183414856
HTTP Request: Basic Search / Ajax MarkList,79364,31,6,18,3,174186,1.5120205634796633E-4,2.1474893661881205,0.3813969781387617
HTTP Request: Browse Topics / Ajax MarkList,7199,16,7,17,3,25850,1.3890818169190166E-4,0.1948224374395087,0.03457695922322273
HTTP Request- Search Topic,14297,425,188,489,34,247973,6.295026928726306E-4,0.3869072973687706,93.20447932861097
HTTP Request: Retrieve Document,58921,415,277,507,72,252102,4.0732506237165016E-4,1.5945351563731545,68.29614673567632
HTTP Request - Curriculum Standards,7185,103,61,125,13,39601,0.0,0.1944757255182873,3.61235081186172
HTTP Request: Advanced Search,57648,697,470,892,75,297883,0.0010407993338884263,1.5600845251457545,73.8675664465402
HTTP Request: Curriculum Standards / Ajax MarkList,7185,29,6,18,3,41491,0.0,0.19447448325612593,0.034438163310914954
HTTP Request: Retrieve Document/ Ajax MarkList,39257,25,6,19,3,162495,2.802048042387345E-4,1.0625304746390782,0.18951860228469627
HTTP Request - Browse Category,2892,444,143,520,31,173874,3.4578146611341634E-4,0.07829653382706715,44.61902372013561
HTTP Request: Browse Category / Ajax MarkList,2891,23,7,17,4,34247,0.0,0.078268112658542,0.013864640272133164
HTTP Request: Advanced Search/ Ajax MarkList,57580,34,6,18,3,174209,5.731156651615144E-4,1.5585050282763915,0.2782963206038912
HTTP Request: Retrieve Document/ Scribble,34132,32,7,19,3,173755,2.3438415563107934E-4,0.923959002445871,0.32600509151300666
HTTP Request: Read More,5762,470,256,457,79,258166,8.677542519958348E-4,0.156030535516999,21.243363487372775
HTTP Request - PortalTabResults,51732,759,548,1372,66,248428,2.1263434624603728E-4,1.4007001930552163,47.93229744557821
TOTAL,968241,288,55,566,3,9551176,0.006740057485687964,26.00281007521374,2860.7676659315625
