sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HomePage/EnterProduct,40,1085,1024,1336,535,2063,0.0,0.004803782882944661,9.96516776093338
HomePage/SavedItemServlet/SavedItemCount,40,4,5,6,4,10,0.0,0.004804643784310412,0.0018880748621157319
Named User Login Dialog,40,6,6,8,5,9,0.0,0.004804634550487401,0.008741478905552295
Named User Session,40,274,182,551,136,723,0.0,0.004804314274218248,0.002114789706156128
Refresh Home Page,40,357,311,464,275,731,0.0,0.0048042698428655455,0.08136774608551096
GoBackToHomePage,1829,520,480,651,286,29839,0.0,0.049360972419253045,0.8362316624004329
Spotlight/ClickReadMoreLink,1829,939,931,1154,556,2345,0.0,0.04936021843286515,1.5667787486366904
Spotlight/FeatureArticles/SavedItemServlet/SavedItemCount,1736,5,5,6,4,51,0.0,0.04685190676330214,0.01842740178297954
Spotlight/FeatureArticles/crossdomain.xml,1736,10,5,7,3,4655,0.0,0.04685189411871358,0.01882028387140278
BasicSearch/SubmitSearchForm,7833,1040,896,1673,305,36776,1.2766500702157538E-4,0.21121869791074696,47.79479704307136
Spotlight/FeatureArticles/TranslateForm,1736,7,7,9,6,132,0.0,0.04685186882955692,0.06786634720403241
Spotlight/FeatureArticles/BookMark,1736,15,11,14,8,203,0.0,0.04685181445796256,0.017624197841475377
Spotlight/FeatureArticles/Email,1736,8,8,10,7,72,0.0,0.04685180434233102,0.06922747953053844
Spotlight/FeatureArticles/SavedItemServlet/SavedItemList,1736,5,5,6,3,26,0.0,0.046851787904439085,0.018382866414514448
Spotlight/FeatureArticles/Get tinyurl for document,1736,15,11,14,9,225,0.0,0.04685176767320331,0.017625181763132953
Spotlight/FeatureArticles/Get tinyurl for document (for EZProxy),1736,12,11,13,9,242,0.0,0.04685175755759197,0.017623174916907628
Spotlight/FeatureArticles/Get Citation for document,1736,15,13,17,9,148,0.0,0.04685174364863351,0.03417455470939639
Spotlight/FeatureArticles/ClearDocumentInSession,1736,7,7,8,5,136,0.0,0.046851787904439085,0.015106232119370044
Spotlight/FeatureArticles/AuditLoggingCall,1736,236,227,314,139,1197,0.0,0.04685153375080857,0.6080841838229373
Spotlight/View Document/ Image Viewer,1829,0,0,0,0,49,0.0,0.0493616318431914,0.04764094214224354
Spotlight/FeatureArticles/Start Page Images,1736,173,0,781,0,3163,0.0,0.04685176261539709,3.4395212739911183
Spotlight/FeatureArticles/Second Page Images,1736,157,0,755,0,2518,0.0,0.04685380479344651,3.3900172550741647
ResultsList/SavedItemServlet/SavedItemList,9787,5,5,6,4,1679,0.0,0.2639387120664624,0.1035514615461226
ResultsList/SavedItemServlet/SavedItemCount,9784,5,5,6,3,1606,0.0,0.26389257953701845,0.10378915348363557
BasicSearch/ResultsList/GenerateBookMarkForTools ,7827,16,11,15,8,1011,0.0,0.21110653972835197,0.13363139355689732
BasicSearch/ResultsList/HitCountsListWindow,7826,16,14,16,10,1734,0.0,0.21105449850015384,0.2668360264429631
Explore Archive - First 20 Images,2496,252,233,292,181,3248,0.0,0.06732763377219927,3.991449261119006
BasicSearch/ResultsList/SubjectLimiter,7825,123,99,201,23,41758,0.0,0.21107170206871848,0.20862828791380505
Explore Topics/GoToTopicsPage,2495,177,154,214,111,16358,0.0,0.06730351709297579,1.1424647423562695
BasicSearch/ResultsList/PublicationYearLimiter,7825,429,443,610,23,4441,0.0,0.21107692878725692,0.25021411811405014
BasicSearch/ResultsList/PublicationTitleLimiter,7822,105,90,190,22,1601,0.0,0.2110129555264433,0.19129255878674728
Explore Topics/ClickOnTopic,2493,285,264,364,206,1340,0.0,0.06728070134720092,1.3263962028295624
Topic Page/ImagesGridWindow,2493,46,34,58,24,1332,0.0,0.06727304696872993,0.8820645545264102
Advertisements/ViewArticle,2460,615,598,769,364,3666,0.0,0.06637990010148839,2.208925514645254
Monographs/ViewArticle,1028,1283,1142,1706,517,6705,0.0,0.027737549037855115,1.1055124649287293
Advertisements/SavedItemServlet/SavedItemCount,2460,7,5,6,4,3336,0.0,0.06638184179226439,0.026109706227428996
Monographs/SavedItemServlet/SavedItemCount,1028,5,5,6,4,926,0.0,0.027736775197322334,0.010908349404743983
Advertisements/crossdomain.xml,2460,9,6,8,3,3005,0.0,0.06638125784010553,0.026714856623701353
Topic Page/MonographListWin,2493,53,39,73,31,3088,0.0,0.06727829918084825,0.5153979150784325
ImageSearch/GoToImageSearchPage,1162,145,131,183,99,1145,0.0,0.03136005876043781,0.44311801402064505
Monographs/crossdomain.xml,1027,7,6,9,4,1011,0.0,0.02772881285824202,0.01106839600252038
Topic Page/FeatureArticlesListWin,2492,55,40,59,31,4732,0.0,0.06725230869457387,0.7451244384874142
Monographs/TranslateForm,1027,7,7,9,6,40,0.0,0.02772819821142052,0.04016653288047273
Advertisements/TranslateForm,2459,7,7,9,5,41,0.0,0.06635648137404061,0.09611380101980926
Monographs/BookMark,1027,17,11,17,8,327,0.0,0.02772796688368188,0.010430075253013647
Topic Page/VideosListWindow,2492,35,28,60,23,1095,0.0,0.06725427435053409,0.2403985667903629
Monographs/Email,1026,8,8,10,7,44,0.0,0.02769974737344435,0.040863760820753776
Topic Page/MapSupplementsListWin,2492,15,11,25,9,1477,0.0,0.06724602771480809,0.07412492851399151
ImageSearch/SubmitSearchForm,1162,744,688,1123,312,3877,0.0,0.03136233474822806,4.191142507579725
nGramViewer,332,230,218,266,185,486,0.0,0.00898764493897186,0.18560274085034056
/NATGEO-ARCHIVE/SavedItemServlet,332,5,5,6,4,12,0.0,0.008987698466723006,0.0035346129194537895
Advertisements/BookMark,2458,16,11,15,8,276,0.0,0.06642205084540435,0.024984165143864135
/natgeo/archive/nGramViewer/NGramViewerWindow,332,1073,884,1358,125,12410,0.0,0.008987472194669515,0.017920935171725282
Covers/ViewArticle,446,641,633,788,415,1243,0.0,0.012054974467645165,0.39208958606298994
ImageSearch/Bookmark,1162,16,11,15,8,207,0.0,0.031360078226392724,0.01985356232507884
Departments/ViewArticle,1444,698,626,808,379,39282,0.0,0.03897095204011719,1.2470974271220256
Advertisements/Email,2458,8,8,10,7,157,0.0,0.06642024880463143,0.09803551689552244
Covers/SavedItemServlet/SavedItemCount,446,4,5,6,4,24,0.0,0.012055278805216995,0.004741877441683873
Advertisements/SavedItemServlet/SavedItemList,2458,5,5,6,4,644,0.0,0.06641565440211632,0.026054334496904252
Departments/SavedItemServlet/SavedItemCount,1443,8,5,6,4,1050,0.0,0.03901098950117759,0.01534535428892577
Advertisements/GetRelatedSubjects,2458,106,83,157,36,27173,0.0,0.06641158278525315,0.05526606371699631
Monographs/SavedItemServlet/SavedItemList,1025,5,5,6,3,33,0.0,0.027677542320649864,0.010862433315687212
FeatureArticles/ViewArticle,2585,993,950,1381,399,4683,0.0,0.06977009068222463,2.2802549844201496
Departments/crossdomain.xml,1442,8,6,9,4,1007,0.0,0.03898339207470883,0.015980622496645117
Covers/crossdomain.xml,446,6,6,9,4,30,0.0,0.012055424462575395,0.00494241677344457
Advertisements/RetrievePageDocId,2458,106,81,189,31,7411,0.0,0.0664112723651375,0.02901941721528241
Covers/TranslateForm,446,7,7,9,6,35,0.0,0.01205394491698521,0.017458113681605856
ImageSearch/ResultsList/HitCountsListWindow,1161,14,12,15,9,228,0.0,0.03134616553372732,0.03238611245867524
Advertisements/AuditLoggingCall,2458,242,227,320,139,8584,0.0,0.0663947686540735,0.8617132977086323
FeatureArticles/SavedItemServlet/SavedItemCount,2584,5,5,6,3,653,0.0,0.06975236291528165,0.027433654610809353
Monographs/AuditLoggingCall,1025,267,229,316,150,26767,0.0,0.027679501295859735,0.3592389455464276
Advertisements/SearchResultsPreview,2458,357,137,766,36,60347,4.068348250610252E-4,0.06638931167734513,9.709761975301273
