sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Home Page / Product Page,66984,729,661,847,131,175291,4.478681476173414E-5,1.8277119539712585,1737.3955589362545
HTTP Request: Saved Item Count,276777,8,6,9,4,8127,0.0,7.5536772530735,2.970930117307808
HTTP Request: Bread Crumb,272904,13,11,15,5,7589,0.0,7.448206317258207,5.018365610067046
HTTP Request: Header Bookmark Tool,222945,14,12,17,6,6673,0.0,6.0849827636507205,5.3564674855252905
HTTP Request: FavIcon Servlet,1381964,0,0,0,0,6368,0.0,37.71952818682909,1.0149426015523764
HTTP Request: Search Assist,29713,41,32,76,5,6728,0.0,0.8134665801794335,1.3691541804271505
HTTP Request: Perform Basic Keyword Search,29703,1126,986,1617,283,171553,0.0,0.8132144013773639,139.98116516080455
HTTP Request: Go To Advanced Search Page,24573,395,388,495,147,6915,0.0,0.6728408040804934,22.215236200787547
HTTP Request: Browse Items,5914,421,414,519,162,6835,0.0,0.1619474883762834,5.493823004003709
HTTP Request: Perform Advanced Search WIth Default Date Range,19649,1143,1021,1603,58,304944,5.08931752252023E-5,0.5381467113536494,137.41244966334745
HTTP Request: Topic Page,5913,765,740,945,330,16699,0.0,0.16195345945654138,7.004855112920427
HTTP Request: Map Page,3930,917,737,1532,358,166212,0.0,0.10767901231658845,63.008708413399624
HTTP Request: Map Ajax Calls,3930,395,375,526,173,3361,0.0,0.1076801305006463,0.30093328332452074
HTTP Request: Saved Item List,152053,8,6,9,4,8163,0.0,4.16485898553268,1.634025276185921
HTTP Request: Perform Advanced Search WIth New Date Range,4912,1461,1292,2358,332,7681,0.0,0.13455689895437073,22.37824974891113
HTTP Request: Display Group Ajax Calls,79406,303,240,534,9,7842,2.5187013575800316E-5,2.175105855142486,9.004603403688606
HTTP Request: Navigation Portlet,105646,130,85,299,9,8546,9.465573708422467E-6,2.8942604573603266,3.3354357718090437
HTTP Request: Add Search To History,105649,14,12,16,6,6299,0.0,2.8944372444313062,0.9333454409048401
HTTP Request: Suggested Portals,50064,167,136,278,21,181055,1.997443272611058E-5,1.371790486623111,15.855937530474758
HTTP Request: Reference List,50058,132,116,223,9,7583,0.0,1.3715820732595474,4.439606504265541
HTTP Request: Biographies List,50056,114,103,208,9,6480,0.0,1.3715132564773354,3.6045147738762178
HTTP Request: Primary Sources List,50051,175,158,301,21,6830,0.0,1.3714247322206283,2.588266634612937
HTTP Request: Creative Works List,50044,147,131,259,21,9864,0.0,1.37127846781799,1.6408600135117264
HTTP Request: Magazine List,50036,307,262,514,23,7624,0.0,1.3711481126599478,4.343722152321906
HTTP Request: Critical Essay List,50028,212,194,350,21,8543,0.0,1.3710473485726191,3.6620154425741966
HTTP Request: Plot Summary List,50024,163,148,287,20,7358,0.0,1.3709194291599365,2.3354414235131564
HTTP Request: News List,50018,359,274,620,23,10611,0.0,1.3707605575255737,4.134961629741892
HTTP Request: Academic Journal List,50013,266,242,429,21,8030,0.0,1.370673302801391,4.079656365883428
HTTP Request: Website List,50007,155,140,268,21,6410,0.0,1.3705498070714142,1.6132624695653774
HTTP Request: Audio List,50000,237,219,380,21,10444,0.0,1.370410727443615,3.5028084959767622
HTTP Request: View Full List Page,41680,658,617,875,178,168408,2.399232245681382E-5,1.142501235082759,50.185527018166894
HTTP Request: Sidebar Limiter Ajax Calls,134072,136,118,246,15,11551,0.0,3.677817765216027,4.121722730145539
HTTP Request: View Document,145292,558,527,743,163,12681,1.3765382815296093E-5,3.9858548952614385,141.97851292066593
HTTP Request: View More,11678,660,630,861,195,23952,0.0,0.32039191080385776,25.62161280202555
HTTP Request: MLA7 Citation - Get Bookmark,46479,16,15,19,7,6095,0.0,1.2753544576600375,0.5459241840426704
HTTP Request: MLA7 Citation - Get Citation,46460,26,20,33,10,11151,0.0,1.2751142758731417,1.509879086623239
HTTP Request: Bookmark Tool,46451,13,13,17,6,7233,0.0,1.275023828296169,0.8720607679332014
HTTP Request: Translate Form,46443,16,15,20,7,5851,0.0,1.2747700168646339,1.8480311687726279
HTTP Request: Email Form,46429,17,16,21,7,6372,0.0,1.2745422961839306,1.8609904248925668
HTTP Request: Related Subjects,46404,16,15,21,7,6756,0.0,1.2738471983446025,1.4640738419932469
HTTP Request: Clear Document In Session,46392,15,14,18,6,5649,0.0,1.273624209533914,0.4106918474776808
HTTP Request: Download,23166,19,17,25,8,1851,0.0,0.6361329443712367,0.7444635992618102
HTTP Request: Subject Linking Portlet,15873,14,14,18,6,1854,0.0,0.43581831870172105,0.6510452059916302
HTTP Request: Download Citation Pop Up,23170,11,9,13,6,3675,0.0,0.6362536506323241,0.7924218051866425
HTTP Request: Download Citation CSS,23167,7,8,12,0,4616,0.0,0.6362340611929355,0.8080510189010291
HTTP Request: Download Citation JS,23164,0,0,0,0,1,0.0,0.6361515151207233,0.0
HTTP Request: Subject Linking Ajax,15866,523,462,1049,6,10913,0.0,0.4357004358212654,3.082597269372261
HTTP Request: Download Citation i18n,23162,11,9,13,6,4407,0.0,0.6361385178027466,1.0835559090901974
HTTP Request: Download Citation,23161,22,16,29,11,5299,0.0,0.6361645875704135,4.157389488170555
HTTP Request: Print Document Tool (Audit Logging),23162,261,255,333,85,5272,0.0,0.6361692514532987,7.175310480385101
HTTP Request: Sort By Content Level,3241,519,499,711,138,4859,0.0,0.08904555093424746,2.011825801577554
HTTP Request: Perform Related Subjects Search,8348,808,731,1070,197,163697,0.0,0.2293794206817751,26.887838131614973
HTTP Request: Go To Home Page,11635,255,252,326,81,6547,0.0,0.3197302471491452,5.441613875323024
HTTP Request: Sort By Relevance,4140,499,474,676,137,6935,0.0,0.1137927724767937,2.5242883739034117
HTTP Request: Sort By Title,4140,523,498,733,129,6523,0.0,0.1138521458283185,4.096674062650333
HTTP Request: Full List Pagination,2402,601,583,796,169,3466,0.0,0.06611249423476755,2.565808191318769
HTTP Request: Follow Spotlight Links,5824,787,759,940,260,5064,0.0,0.16029052657942522,7.24286985154583
HTTP Request: Portal Page Ajax Calls,83879,344,253,631,8,11067,2.3843870337033107E-5,2.3085976857821278,9.125088795708674
HTTP Request: Save Highlight,1192,8,6,9,5,345,0.0,0.03286660547742936,0.022294161492244252
HTTP Request: Save Note,1192,8,6,9,4,1051,0.0,0.03286666891292334,0.023255964300897002
HTTP Request: Featured Links,5772,704,697,885,242,5541,0.0,0.15936220220672476,4.119300980767782
TOTAL,4376400,118,11,404,0,304944,2.9704780184626632E-6,119.41357033559977,2527.029166322098
