sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Home Page / Product Page,19582,873,785,1045,379,168283,0.0,0.5356684267695687,513.0728611695623
HTTP Request: Saved Item Count,54273,9,6,9,4,5029,0.0,1.4849943825332723,0.5840622492825318
HTTP Request: Bread Crumb,54279,13,11,14,5,5429,0.0,1.485174887900475,0.9080146586373581
HTTP Request: Header Bookmark Tool,44779,14,12,16,6,4727,0.0,1.2253114947921868,1.034368383968838
HTTP Request: FavIcon Servlet,252925,0,0,0,0,5102,0.0,6.921785750390541,0.2974672244259687
HTTP Request: Go To Advanced Search Page,3380,320,304,380,128,5710,0.0,0.09260135958521605,2.4471724044287533
HTTP Request: Search Assist,4078,79,62,129,5,5148,0.0,0.11168505275229025,0.1832650898628533
HTTP Request: Perform Basic Keyword Search,4078,996,891,1484,229,7329,0.0,0.11168288720474795,19.53701331851465
HTTP Request: Browse Items,1347,311,307,378,114,4835,0.0,0.03691742008899647,0.8522782578509814
HTTP Request: Perform Advanced Search WIth Default Date Range,2703,944,865,1359,277,5934,0.0,0.07404654593819768,13.834186328209302
HTTP Request: Saved Item List,24652,8,6,9,4,4410,0.0,0.6752440816165539,0.26493647468464687
HTTP Request: Perform Advanced Search WIth New Date Range,676,1383,1263,2174,349,5328,0.0,0.018528786909905417,3.0809396066302224
HTTP Request: Topic Page,1346,775,748,964,388,3568,0.0,0.03689603169747403,2.7229760411636637
HTTP Request: Navigation Portlet,16285,131,91,297,10,5655,0.0,0.44615183019370935,0.48668418716684325
HTTP Request: Add Search To History,16282,14,12,15,6,4481,0.0,0.44611609660416385,0.1438537999692771
HTTP Request: Suggested Portals,7686,157,134,261,24,4848,0.0,0.21061910507651782,4.132142050547914
HTTP Request: Display Group Ajax Calls,16133,341,271,612,8,6350,0.0,0.4420369736679619,2.5717031208117214
HTTP Request: Reference List,7686,131,112,212,9,5464,0.0,0.2106210674339273,0.7025203706638258
HTTP Request: Biographies List,7684,129,110,216,9,5224,0.0,0.21059328051764947,0.6097232084456347
HTTP Request: Primary Sources List,7683,167,154,273,22,5120,0.0,0.2105681417883591,0.4612342540155603
HTTP Request: Magazine List,7682,260,234,412,26,5572,0.0,0.21054965602046075,0.6432436997839276
HTTP Request: News List,7681,338,260,564,24,6554,0.0,0.21054032690134142,0.6431204500566055
