sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Home Page / Product Page,8272,726,644,932,327,11798,0.0,1.1489816053212072,988.1445967202353
HTTP Request: Saved Item Count,36532,7,5,7,4,4552,0.0,5.0718495827025105,1.994852742369561
HTTP Request: Bread Crumb,33449,38,9,28,5,5701,0.0,4.64661085936393,13.335212601174469
HTTP Request: Header Bookmark Tool,29314,12,9,13,6,5057,0.0,4.071720847241297,3.419209288963906
HTTP Request: FavIcon Servlet,146634,0,0,0,0,4129,0.0,20.375355982344526,0.6375367294054791
HTTP Request: Go To Home Page,2776,251,210,296,77,9135,0.0,0.3860640877511433,6.64720256602586
HTTP Request: Browse Items,1619,869,854,1031,504,7058,0.0,0.22529891070272803,32.36689174625651
HTTP Request: Search Assist,3115,26,20,43,7,4827,0.0,0.4335268361462011,0.718989312858921
HTTP Request: Perform Basic Person Search,3113,724,645,1047,89,10984,0.0,0.4334907156676885,19.182497513398804
HTTP Request: Topic Page,1616,869,753,1197,362,6985,0.0,0.22509117515840305,9.567640652254958
HTTP Request: Person Filmstrip Portlet Window,3111,156,103,250,12,10360,0.0,0.43361320503437334,5.740266066947733
HTTP Request: Featured Links,1199,663,605,810,324,6405,0.0,0.16722244769591457,4.78283323173942
HTTP Request: MLA7 Citation - Get Bookmark,6748,13,9,16,7,3509,0.0,0.9406683345361194,0.4026771823491421
HTTP Request: Display Group Ajax Calls,17658,224,173,351,10,13742,0.0,2.4618965805458304,7.438753059594544
HTTP Request: Go To Advanced Search Page,3054,308,271,367,111,6212,0.0,0.4270010641470528,10.88660847536292
HTTP Request: MLA7 Citation - Get Citation,6735,29,16,40,10,3864,0.0,0.9401486174650439,1.0964309579754963
HTTP Request: Bookmark Tool,6729,11,9,13,6,4223,0.0,0.9400775644321255,0.642946576135246
HTTP Request: Translate Form,6725,14,10,17,7,4094,0.0,0.9404034519588779,1.3645552607025604
HTTP Request: Perform Advanced Search WIth Default Date Range,2443,848,688,1297,223,12272,0.0,0.34156042361881245,45.53726531986057
HTTP Request: Email Form,6722,15,10,18,7,5922,0.0,0.9400074702765638,1.3725338296323162
HTTP Request: Perform Advanced Search WIth New Date Range,611,1189,981,2067,303,6707,0.0,0.08552436443569386,8.19503816984054
HTTP Request: Related Subjects,6714,13,10,17,7,4148,0.0,0.9399301478185054,0.6497678985277928
HTTP Request: Saved Item List,14567,7,5,7,4,3916,0.0,2.039270695090743,0.8000644993553345
HTTP Request: Clear Document In Session,6708,12,9,15,6,4389,0.0,0.9389879031817804,0.30275936093810324
HTTP Request: Navigation Portlet,7860,90,59,196,9,4856,0.0,1.102646576240295,1.0830997194423806
HTTP Request: Add Search To History,7854,12,9,13,6,5018,0.0,1.1027132305369851,0.3555827921997009
HTTP Request: Suggested Portals,4018,157,104,264,9,5142,0.0,0.5643294886455728,5.884546884010768
HTTP Request: Reference List,4014,47,13,120,8,4419,0.0,0.5641967014030422,0.7271126827068229
HTTP Request: Perform Entity Search,534,495,441,664,216,6588,0.0,0.07515115726449224,2.5940962756251023
HTTP Request: Biographies List,4011,106,71,178,9,3702,0.0,0.5643465518369403,1.536179672786987
HTTP Request: Primary Sources List,4010,97,74,163,9,4558,0.0,0.5642783386632542,0.5894166649106259
HTTP Request: Magazine List,4007,201,158,334,9,4599,0.0,0.5645274453040954,1.457519915107442
HTTP Request: News List,4005,213,160,367,10,5949,0.0,0.5644584011070995,1.4468564144055562
HTTP Request: Academic Journal List,4001,155,119,264,9,5085,0.0,0.5642146339592341,1.171615603256284
HTTP Request: Perform Related Subjects Search,539,787,663,1059,251,9028,0.0,0.07647583462944976,11.986096596383742
HTTP Request: Website List,3998,100,75,172,9,4730,0.0,0.5643503364928294,0.4584526277880149
HTTP Request: Audio List,3996,145,114,256,9,3791,0.0,0.5642239647210353,1.0774142464468435
HTTP Request: View Full List Page,2942,616,521,824,190,7171,0.0,0.4166439485723713,16.43027604431834
HTTP Request: View More,3116,609,551,747,190,9592,0.0,0.4407326345542872,12.16680984443913
HTTP Request: Sidebar Limiter Ajax Calls,9680,87,58,169,16,4985,0.0,1.3899009623771903,1.5857632631981364
HTTP Request: View Document,4908,602,518,844,196,10345,0.0,0.7059281423259297,39.03046799252152
HTTP Request: Sort By Title,287,476,403,656,144,3717,0.0,0.04153411687613658,1.240062502378805
HTTP Request: Download Citation Pop Up,1944,10,9,12,6,215,0.0,0.2820613753364895,0.41513205186084334
HTTP Request: Download Citation CSS,1944,7,8,12,0,132,0.0,0.2820279433982684,0.43976788630574437
HTTP Request: Download Citation JS,1944,0,0,0,0,1,0.0,0.28199427394960397,0.0
HTTP Request: Download Citation i18n,1943,12,8,12,6,3677,0.0,0.28201166190067445,0.48036574539470456
HTTP Request: Download,1943,15,13,22,8,313,0.0,0.28228342447131427,0.3384666552432439
HTTP Request: Download Citation,1942,27,15,39,11,4408,0.0,0.2823466056107882,1.7863395583587318
HTTP Request: Print Document Tool (Audit Logging),1943,251,220,311,86,6349,0.0,0.28232181577535265,3.3192626361806816
HTTP Request: Sort By Relevance,288,421,381,587,139,3192,0.0,0.04198799755594864,0.8964857198710968
HTTP Request: Follow Spotlight Links,1544,713,657,864,293,6941,0.0,0.22455725570090368,8.77472770432965
HTTP Request: Portal Page Ajax Calls,16931,185,153,290,21,7951,0.0,2.4590757994029726,8.928805641882182
HTTP Request: Sort By Content Level,200,534,399,630,150,9396,0.0,0.029429457002974727,0.6563159771639185
HTTP Request: Save Highlight,96,7,6,8,5,82,0.0,0.01438167127903843,0.009755291977514258
HTTP Request: Save Note,96,6,6,7,5,9,0.0,0.014380843996754124,0.010172972529442157
HTTP Request: Full List Pagination,126,561,514,735,178,3584,0.0,0.018800293582997254,0.7004251738616832
TOTAL,462828,92,8,273,0,13742,0.0,64.22449794342785,1287.1974588923642
