sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Login,1143,265,213,323,150,6124,0.0,0.15917364507786488,3.920633986504637
Common Ajax Requests,4932,53,52,57,26,324,0.0,0.6851921392957275,7.589301289399764
BasicSearch,229,109,64,121,32,4351,0.0,0.031904543833987144,0.7725306183483728
Basic Search : Ajax,229,2046,34,8500,14,22779,0.0,0.03190428602735772,1.1671352891670739
Article Page Retrieve,93,952,695,1185,79,10928,0.0,0.013124241122509286,1.7193967249849849
Company Hierarchy Ajax Call,71,44,20,47,17,427,0.0,0.010881539575393132,0.004675661536301736
Navigate All Industries,228,130,66,111,50,5303,0.0,0.03193160586146641,0.21158108094718106
Ajax Search Call,684,316,191,390,14,34007,0.0,0.09563763738122896,6.720494967418886
Navigate to Recent News,66,83,68,112,53,376,0.0,0.009939414749187905,0.06585803503794296
Industries Article Retrieve,228,715,594,870,77,6304,0.0,0.031930894821313026,0.27671513786128826
Navigate Recent News - Ajax Search,66,1936,723,3304,35,13792,0.0,0.009937174472844187,0.09580395444400229
Recent News,66,236,168,454,75,1056,0.0,0.0099376143672608,0.07850471262188446
Navigate Market Share Reports,228,85,65,109,50,1479,0.0,0.031936065118197056,0.21161582622522435
Publication Title,456,715,711,919,395,1601,0.0,0.06382205068646495,0.02824935983753929
Subject Limiter,456,550,437,986,13,1497,0.0,0.06382314047921102,0.16836937120315298
Navigate Industry Essays,228,78,64,112,44,848,0.0,0.031941183392826124,0.21164974110830304
Navigation Comparision Charts: Industry,112,119,88,129,70,1605,0.0,0.015718001096891934,0.1289877103826379
BasicSearch Publication Title,48,138,98,306,24,557,0.0,0.006798263100430033,0.026329300101464077
BasicSearch Display Group,48,81,11,207,8,448,0.0,0.006798239992317988,0.005935182180793244
BasicSearch Subject Limiter,48,132,92,278,26,388,0.0,0.006798327611407594,0.023803275253662597
Navigate to SWOT Reprot,66,123,65,112,51,3366,0.0,0.00994093128752984,0.06586808354057413
ComparisonTool.Industry,112,158,104,150,41,5318,0.0,0.015715588263935446,0.5589482299143557
Navigate SWOT Report - Ajax Search,66,152,86,151,33,3458,0.0,0.009939628803056346,0.0054910330994157154
Navigation Publication Search,68,69,63,88,51,155,0.0,0.009655600354701319,0.0639837442909488
Navigation Publication Search Ajax Call,68,660,633,789,375,943,0.0,0.009654958751318506,0.04578409947738276
Publication Search Result,68,103,83,130,62,414,0.0,0.00965591433272804,0.05294084671505794
Navigation Comparision Charts: Company,116,93,85,127,69,257,0.0,0.016304938330084763,0.13218291502674362
Publication Search Ajax Call,68,59,29,83,19,491,0.0,0.009656063787957383,0.017124702969537817
Navigation Company Finder,224,146,97,151,75,4713,0.0,0.031428459985817905,0.2698537545364316
Navigation Company Finder Ajax Call,224,38,34,42,23,453,0.0,0.031426559567570546,0.12587270411620588
Company Comparision Search Assist,116,119,121,154,13,414,0.0,0.016305529640852436,0.19356529463248673
ComparisonTool.Company,116,118,106,155,81,540,0.017241379310344827,0.016305772594916113,0.13956409249238655
Company Finder by Revenue,29,428,39,1298,35,1989,0.0,0.004228058562984951,0.057873972007700905
Navigate Recent News - Subject Limiter,15,127,140,208,32,234,0.0,0.0023231599063487777,0.008338722338328592
Navigate Recent News - Publication Title,15,69,40,110,22,230,0.0,0.002323157027913971,0.007033599897533288
Navigation Advance Search,80,391,273,699,63,2339,0.0,0.011288013089579978,3.778347386645067
Comapny Retrieve,169,2334,805,11063,75,12219,0.0,0.023814375258752348,0.2084520198993765
