sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Login GPS,5230,997,906,1759,212,12675,0.0,0.7265797169784454,617.3144248827192
HTTP Request: Login/ Ajax MarkList,5230,7,6,9,3,309,0.0,0.726631503074082,0.12871363034789673
HTTP Request: Navigate To Subject Guide Search,2432,432,82,988,28,7313,0.0,0.3379658182038507,3.3053199460699942
HTTP Request: Navigate To Subject Guide Search / Ajax Marklist,2431,6,6,9,3,103,0.0,0.33796535403295824,0.12759585604914192
HTTP Request: Search Assist,19921,48,31,109,7,1013,0.0,2.7678346518559747,2.818851070130519
HTTP Request: Navigate To Publication Search,1018,652,340,1443,77,8241,0.0,0.14166004983428002,1.6096830353775797
HTTP Request: Navigate To Publication Search / Ajax Marklist,1018,6,5,8,3,100,0.0,0.1416616860106302,0.059190181204847946
HTTP Request: Navigate To Advanced Search,3855,764,805,1364,43,10524,0.0,0.5360140990478972,7.866687593854609
HTTP Request: Subject Guide Search,2429,779,415,1793,46,11626,0.0,0.3376722855019869,3.826977865409652
HTTP Request: Navigate To Advanced Search / Ajax Marklist,3854,6,6,9,3,119,0.0,0.5363754851073691,0.18542002169544197
HTTP Request: Publication View All,477,956,472,1086,99,11654,0.0,0.06637192153252627,1.0795617625168121
HTTP Request: Basic Search,4536,1921,1385,3827,69,16957,0.0,0.6303727078635243,22.361492174088205
HTTP Request: Subject Guide Search / Ajax Marklist,2428,7,6,9,3,100,0.0,0.3377371306226173,0.1274996138209601
HTTP Request: Publication Search/ Ajax Browse Index (PTA),1018,70,21,180,7,3186,0.0,0.14159189627016625,0.19181173968246418
HTTP Request: Basic Search/ Ajax MarkList,4530,7,6,9,3,263,0.0,0.6302632371627692,0.16193919528462924
HTTP Request: Publication Search/ Ajax Browse Index (PF),1016,69,20,184,7,2544,0.0,0.14164199317051382,0.1929003286223197
HTTP Request: Publication Search/ Ajax Browse Index (PCD),1016,76,20,184,7,6552,0.0,0.14158384383413508,0.19256882855220764
HTTP Request: Ajax Suggest Also Try,29734,56,7,58,4,8731,0.0,4.137807037416998,2.1473709086204824
HTTP Request: Publication Search/ Ajax Browse Index (PLG),1016,69,20,180,7,3556,0.0,0.14152582107960243,0.1893459331855345
HTTP Request: Publication Search/ Ajax Browse Index (PUB_SU),1015,68,21,180,7,2546,0.0,0.14183713324096453,0.1915920318623495
HTTP Request: ATP Publication,772,464,147,436,32,12310,0.0,0.1078230361402705,1.0945284533836461
HTTP Request: ATP Publication/ Ajax MarkList,772,6,5,9,4,100,0.0,0.10777009846026962,0.044598881255289914
HTTP Request: Advanced Search,3851,1719,1170,3516,47,14879,0.0,0.5360921126247257,12.86472291165255
HTTP Request: Ajax Suggest Did You Mean,29725,53,7,38,4,11560,0.0,4.139972144846796,2.146600936847145
