sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Login LitRC,13922,296,272,474,18,4971,0.0,1.9338837349987532,1697.7212025972672
HTTP Request - Ajax Ngram Search,5646,315,269,562,47,3574,0.0,0.7845408490660685,0.5617461932104145
HTTP Request: Home Page,2823,41,37,54,23,1059,0.0,0.3922856873670668,3.786653531679397
HTTP Request: Search Assist,5480,58,49,106,6,326,0.0,0.7612176815865332,0.1162734668704313
HTTP Request: Navigate To Advance Search Page,3317,193,127,212,48,3169,0.0,0.4608942933310805,6.630178792891168
HTTP Request: Basic Search,5477,477,434,657,48,5269,0.0,0.7615254591016891,31.055410755615537
HTTP Request: Navigate to Work Search,1324,359,367,434,54,1066,0.0,0.18427761227433648,2.4611474643925964
HTTP Request: Advance Search,3315,540,434,707,39,11254,0.0,0.46113430693182933,15.664835757418315
HTTP Request: Ajax MarkList,10622,6,5,9,3,308,0.0,1.477197108187096,0.2803530066235365
HTTP Request: Work Search,1324,129,111,196,31,1871,0.0,0.1843104478409785,2.4081930770615347
HTTP Request: Ajax Limit Expand Search Results (SU),10206,127,98,217,14,1980,0.0,1.418849286258752,2.2135966324937755
HTTP Request - Ajax Entity Facts,10612,2220,2141,3727,8,19866,0.0,1.4765526308502939,71.91863889287563
HTTP Request: Click on Work Search Link,1256,196,163,299,60,3127,0.0,0.17489046370758315,3.0344958059185108
HTTP Request- Limit Expand Result,2849,363,293,542,71,9505,0.0,0.3969580390690867,5.52036863071491
HTTP Request: Retrieve Document,15753,302,243,456,62,7454,0.0,2.195237478764251,137.0271749301734
HTTP Request- Previous Search,2847,33,28,43,16,3035,0.0,0.3971316133503178,2.8393297214425823
HTTP Request: Retrieve Document/ Ajax MarkList,10493,6,5,9,3,1129,0.0,1.4625240240443242,0.27846048901030207
HTTP Request- Citation Tools messages/en,2065,9,7,12,5,163,0.0,0.28830220437401216,0.43735355508903656
HTTP Request: Citation Tools/ Popup Window,2065,10,8,13,5,1052,0.0,0.28830043334417194,0.5805509272942606
HTTP Request: Citation/ Ajax MLA7,2065,21,12,39,8,518,0.0,0.28829854158633167,0.21985790537986022
HTTP Request: Citation/ Ajax APA,2065,21,11,37,8,660,0.0,0.2882969315992145,0.17076633185538692
HTTP Request: Save Citation/ MLA7,2065,20,12,30,8,640,0.0,0.288295563124303,0.17895850008055525
HTTP Request: Save Citation/ APA,2065,22,12,33,8,3019,0.0,0.28829487889171906,0.1622134513381978
HTTP Request: Export Citation/ ENDNOTE,2065,20,12,33,8,639,0.0,0.2882937519274845,0.18856916713331165
HTTP Request: Export Citation/ PROCITE,2065,22,12,34,8,581,0.0,0.28829314820026897,0.1886179899653741
HTTP Request: Export Citation/ REFMGR,2065,21,12,32,8,750,0.0,0.2882924237309479,0.18857088877727154
HTTP Request- Navigate To Download,2157,10,8,12,5,200,0.0,0.3012090674402494,0.5076325901595402
HTTP Request: Bookmark,1229,437,393,582,195,2553,0.0,0.1717080225928079,20.34031375912522
HTTP Request- Print Document,2054,20,9,31,6,1848,0.0,0.2866619568879397,0.04517704537807139
HTTP Request - Navigate to Person Search,829,289,289,344,48,631,0.0,0.11579965458457678,1.4825357125034713
HTTP Request: Person Search,829,165,166,250,47,1089,0.0,0.11578728158419348,1.6790624830648881
HTTP Request: Click On Next Page Link,2822,372,319,512,56,4321,0.0,0.39479149427181603,6.4914842000512865
HTTP Request: Search Within Results,2087,344,298,542,47,5420,0.0,0.29239458838841825,3.8330844483328814
HTTP Request- Mark Current Document,2115,162,117,260,37,10123,0.0,0.29638357387581293,0.11142616110367076
HTTP Request- View Mark Item,2115,202,165,276,82,5083,0.0,0.29638340774215116,2.7596896321387936
HTTP Request- View Mark Item/ Ajax Calls,2115,6,5,9,3,128,0.0,0.29639246229824817,0.11143730339475173
HTTP Request: Click on Person Link,580,237,206,361,76,1406,0.0,0.08129192490868674,1.5193648555912025
TOTAL,144783,326,120,570,3,19866,0.0,20.08140303378524,2020.7485499293582
