sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Home Page / Product Page,5050,716,640,929,298,7441,0.0,0.7000630472621574,582.4786642302769
HTTP Request: Saved Item Count,10835,7,5,8,3,4555,0.0,1.502172431094512,0.5908523142761699
HTTP Request: Bread Crumb,10668,13,8,12,5,5213,0.0,1.4797953421402519,0.8133334512397864
HTTP Request: Header Bookmark Tool,9256,11,9,14,6,3731,0.0,1.2837887413003408,1.0355519537850617
HTTP Request: FavIcon Servlet,45552,0,0,4,0,3881,0.0,6.31937481028835,0.3885953866531508
HTTP Request: Search Assist,608,46,35,89,6,293,0.0,0.08501974471702968,0.13999883915012418
HTTP Request: Go To Advanced Search Page,496,317,263,369,115,7297,0.0,0.06915666927537893,1.5625775300204081
HTTP Request: Map Page,166,713,552,1435,312,3448,0.0,0.023163348772775084,11.967478149226457
HTTP Request: Perform Basic Keyword Search,608,1134,973,1666,415,7079,0.0,0.08500501711355118,22.3547781677948
HTTP Request: Map Ajax Calls,166,363,316,481,191,1724,0.0,0.023164173006231022,0.0479048844955492
HTTP Request: Go To Home Page,486,267,209,289,69,8051,0.0,0.06776990305138869,1.133507542408481
HTTP Request: Perform Advanced Search WIth Default Date Range,397,1067,949,1519,382,7838,0.0,0.05531263971840433,21.439459467895542
HTTP Request: Saved Item List,3780,11,5,8,4,4570,0.0,0.526963965423357,0.20677650391751703
HTTP Request: Navigation Portlet,2375,106,67,254,10,2613,0.0,0.3317377330370275,0.3507291726321259
HTTP Request: Add Search To History,2378,10,9,14,6,200,0.0,0.33212926001517074,0.10710381369203573
HTTP Request: Suggested Portals,1139,220,149,375,25,4101,0.0,0.1592051316887821,8.443949788724726
HTTP Request: Perform Advanced Search WIth New Date Range,99,1201,982,2162,417,4121,0.0,0.013885458432617868,2.125615140491736
HTTP Request: Reference List,1138,144,116,229,9,3082,0.0,0.15913889357355757,0.5122100142029365
HTTP Request: Biographies List,1137,91,72,183,9,3589,0.0,0.15907958260427688,0.31488285444071284
HTTP Request: Follow Spotlight Links,245,726,659,965,377,3537,0.0,0.03448730677078737,1.8049355666697353
HTTP Request: Magazine List,1136,301,245,497,26,4176,0.0,0.15903853366471962,0.5003555234408239
HTTP Request: Portal Page Ajax Calls,2934,233,185,400,9,4769,0.0,0.41106398181455184,2.5219108906036016
HTTP Request: News List,1135,304,249,515,35,3913,0.0,0.15925651481920455,0.48175945290897104
HTTP Request: Academic Journal List,1135,291,236,452,49,6020,0.0,0.1592389305092531,0.49483747014620794
HTTP Request: Case Overview List,1135,315,298,398,110,4422,0.0,0.15921545357817443,2.4515716739576123
HTTP Request: Statistics List,1134,135,107,229,27,3981,0.0,0.15915123830610314,0.13119695243798926
HTTP Request: Experimental Activity List,1133,136,106,223,25,5831,0.0,0.15955865484590057,0.1559649158701291
HTTP Request: Website List,1133,137,118,239,23,5682,0.0,0.1595170280555677,0.15166940161931608
HTTP Request: Audio List,1133,226,191,379,25,4006,0.0,0.15947510872247206,0.3807212003155158
HTTP Request: View Full List Page,910,666,574,919,159,7765,0.0,0.12823723267997636,7.258233424844456
HTTP Request: View More,545,662,562,822,198,10166,0.0,0.07710691460854871,5.493071561282736
HTTP Request: MLA7 Citation - Get Bookmark,1406,13,10,16,6,1595,0.0,0.19890928109856776,0.08513822439902446
HTTP Request: MLA7 Citation - Get Citation,1405,36,20,69,11,3044,0.0,0.19923615269742354,0.2354774625712553
HTTP Request: Bookmark Tool,1405,13,9,14,6,4572,0.0,0.19929041265597666,0.13627966891692256
HTTP Request: Translate Form,1405,13,10,17,7,3666,0.0,0.19934348599402735,0.28927306985847034
HTTP Request: Email Form,1405,15,10,18,7,4209,0.0,0.19939675739715845,0.2912036413183007
HTTP Request: Subject Linking Portlet,674,10,9,15,6,92,0.0,0.09573216356394085,0.14307656874868974
HTTP Request: Subject Linking Ajax,674,500,423,825,7,5928,0.0,0.09575252319974246,0.4598002656439947
HTTP Request: Related Subjects,1405,12,10,17,7,149,0.0,0.19962844954053488,0.22164582800517188
HTTP Request: Clear Document In Session,1402,10,9,15,6,274,0.0,0.19940607710643293,0.06430130948953894
HTTP Request: Sidebar Limiter Ajax Calls,3130,126,100,231,17,4429,0.0,0.4454086902223827,0.48025446599589255
HTTP Request: Featured Links,239,739,649,880,280,9211,0.0,0.03428475193547466,0.9823606318557848
HTTP Request: View Document,10597,506,443,659,145,10671,0.0,1.5134686138429894,43.29683890547134
HTTP Request: Sort By Title,92,571,465,819,180,2116,0.0,0.013215542627307333,0.3264141393736982
HTTP Request: Sort By Relevance,92,467,415,715,199,1248,0.0,0.013308829656238716,0.29623970342321904
HTTP Request: Download,493,16,13,24,9,146,0.0,0.07097258644259484,0.08274938069040347
HTTP Request: Download Citation Pop Up,495,9,8,13,6,90,0.0,0.07120549171275964,0.10784833672602327
HTTP Request: Download Citation CSS,494,7,8,12,0,25,0.0,0.07112275182277247,0.11501882521338985
HTTP Request: Download Citation JS,494,0,0,0,0,1,0.0,0.07112569075787879,0.0
HTTP Request: Download Citation i18n,494,9,8,12,6,113,0.0,0.07111198121722406,0.12113930273910684
HTTP Request: Download Citation,492,29,16,51,11,609,0.0,0.0708619127445006,0.45833665986145056
HTTP Request: Print Document Tool (Audit Logging),492,249,216,301,69,3989,0.0,0.07097214675020415,0.8006194535429599
HTTP Request: Perform Related Subjects Search,230,673,548,907,208,8437,0.0,0.03312183362470946,3.7411645483693974
HTTP Request: Sort By Content Level,75,529,481,770,210,2268,0.0,0.010818133615201007,0.24426782258664748
HTTP Request: Browse Items,309,347,325,431,116,3373,0.0,0.044704182011123965,1.2551634110104666
HTTP Request: Topic Page,309,817,723,1085,343,5891,0.0,0.04466907156852626,2.4666674219932005
HTTP Request: Display Group Ajax Calls,3684,287,215,492,9,6366,0.0,0.5324341882293601,2.699275761598401
HTTP Request: Full List Pagination,71,656,603,919,229,1988,0.0,0.01051942864390045,0.4747753071802805
HTTP Request: Save Highlight,23,6,6,7,5,12,0.0,0.0036204907181636875,0.0024554219701608602
HTTP Request: Save Note,23,6,6,7,5,11,0.0,0.003620586465744057,0.0025615587754200587
TOTAL,143551,131,8,465,0,10671,0.0,19.890966945059745,734.6538626881505
