sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
LoginToWorldScholar,20,803,763,854,675,1464,0.0,0.7950073538180229,15.761952438685057
BasicSearch/invokeSearchAssist,893,33,26,59,7,181,0.0,0.12446586304183418,0.19428231696723383
BasicSearch/SubmitSearchForm,893,701,611,986,291,5222,0.0,0.1244614741562648,2.2962067545593947
BasicSearch/invokeHitCountsListWindow,889,48,15,163,11,1087,0.0,0.12424457481661697,0.13652455234043795
retrieveDVIMonographDocument,54,776,560,1522,241,2898,0.0,0.007652473406946349,0.18353038127598476
SearchWithinMonographFullListPage,107,335,274,614,100,1103,0.0,0.01512128329102436,0.28522349477517267
retrieveDVIMonographViewAllPage,37,399,406,506,135,672,0.0,0.00524318902660054,0.15159442234156853
BrowseTopics/accessTopicTab,531,618,380,824,271,9964,0.0,0.07461003610367001,1.0289388430421222
BrowseTopics/selectPortalCategory,530,199,94,342,49,13606,0.0,0.0745510444671661,0.6202617503435326
HistoricalCollection/accessHistoricalCollectionsPage,523,162,100,233,61,2609,0.0,0.0737049698570631,0.4959773385579305
SearchWithinManuscriptFullListPage,104,234,229,338,104,612,0.0,0.01486170115319656,0.18768047164787544
BrowseTopics/retrievePortalPage,383,1685,1383,2812,546,12319,0.0,0.05428893193259384,0.7802813062335175
HistoricalCollection/retrieveHistoricalCollectionsDocument,521,693,629,866,372,4047,0.0,0.07371906752878828,0.9489671795919585
BrowseTopics/MagazineResultsOnPortalPage,381,443,339,719,8,6269,0.0,0.053927897127652995,0.09168491694573057
BrowseTopics/AcademicJournalResultsOnPortalPage,380,433,357,747,9,3381,0.0,0.053937294772141896,0.09472529474070214
retrieveDVIManuscriptDocument,16,349,311,480,235,526,0.0,0.0024403133667402067,0.039521935462100026
BrowseTopics/NewsResultsOnPortalPage,380,469,380,854,8,2209,0.0,0.05393003032712679,0.08855199549450077
BrowseTopics/ReferenceResultsOnPortalPage,381,355,289,609,9,3825,0.0,0.05402788519542354,0.0874085334758053
