sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request : Launch,6007,59,50,67,37,3874,0.0,0.8345251979514053,121.32957582130123
HTTP Request : Login,5997,1067,744,1956,360,11168,0.0,0.834302651947214,792.4711271271709
HTTP Request : Login / Ajax Marklist,5997,6,6,9,3,622,0.0,0.8343533768286001,0.1477960004080638
HTTP Request : Basic search,3054,2005,1521,3284,438,36245,0.0,0.4249294740906419,15.258656870580174
HTTP Request :  Basic Search/ Ajax Marklist,3053,6,6,9,4,156,0.0,0.424976419585497,0.0752625393882706
HTTP Request: Ajax BrowseIndex Search Results (SU),6011,724,400,1529,99,17235,0.0,0.8365291735200315,1.7509014209392952
HTTP Request: Ajax BrowseIndex Search Results (TY),6008,679,376,1433,102,18323,0.0,0.8361563584555546,1.347136193829269
HTTP Request: Ajax BrowseIndex Search Results (PO),6007,684,378,1473,96,18441,0.0,0.8361230780965679,1.7951301915977356
HTTP Request: Ajax BrowseIndex Search Results (WO),6007,685,381,1411,108,19251,0.0,0.836127733370043,1.9214190758464036
HTTP Request: Ajax BrowseIndex Search Results (PU),6007,675,372,1371,100,19342,0.0,0.8361500794043305,1.9290570141135646
HTTP Request: Ajax BrowseIndex Search Results (AU),6006,697,408,1441,112,18299,0.0,0.8361715039823956,1.667026849192376
HTTP Request : RetrieveDocument,45380,1039,633,2313,95,20629,0.0,6.321639090408355,272.9180743950649
HTTP Request :  Retreive Doc / Ajax Marklist,45344,8,6,9,3,3754,0.0,6.322580735119925,1.1198965976162738
HTTP Request : View Document/Retrieval of Callisto images,2330,40,26,47,18,3194,0.0,0.3250458726219163,144.24337667156234
HTTP Request : DVI Document Image Tiles,20764,403,144,917,4,4573,0.0,2.895666610651797,1085.364549486174
HTTP Request: Navigate to NGrams Search Form,1329,1124,825,1940,479,8707,0.0,0.18541841150414512,5.198670538261347
HTTP Request :Navigate To NGram Search / Ajax Marklist,1329,6,6,8,4,143,0.0,0.1854359265154678,0.03285491702928297
HTTP Request: NGram Search,1328,2685,926,6297,195,31865,0.0,0.18554021402510773,0.19855831311147584
HTTP Request : Navigate To Advance Search,4385,1047,154,2631,42,11969,0.0,0.6174794418774416,8.947087808401761
HTTP Request : Navigate To Advance Search/ Ajax Marklist,4384,6,6,9,4,100,0.0,0.617626328463656,0.10942122467806016
HTTP Request : Advance Search/ Single Term,2631,3718,3036,7027,424,20372,0.0,0.37055716953476414,6.649699699355391
HTTP Request : Advance Search/ Ajax Marklist,4383,7,6,9,3,417,0.0,0.617599166727257,0.10939293933240109
HTTP Request: Download Citation JS,2710,8,8,13,0,2092,0.0,0.38331078966124515,0.9278850795797754
HTTP Request: Download Citation/en,2710,9,8,12,5,1314,0.0,0.3833101390623725,0.5814888459313184
HTTP Request: Download Citation CSS,2710,6,7,11,0,350,0.0,0.3833096511146673,0.4856640079893188
HTTP Request: Download Citation Pop Up,2710,10,8,11,5,2885,0.0,0.38331003062944174,0.44710861380559674
HTTP Request: Get Citation,2710,18,15,23,10,411,0.0,0.3833102474953646,1.8148358388115347
HTTP Request: Download Citation,2710,15,12,18,9,343,0.0,0.3833103017118836,0.23129977685612002
HTTP Request : AdvancedSearch - Multiple Search Terms,1753,3823,3063,7125,418,27462,0.0,0.2479214130134558,4.249292074229623
HTTP Request: Retrieve Carrot page,150,100,80,108,26,1127,0.0,0.02142735006961746,1.4780888795142249
HTTP Request : Retrieve Topic Finder/ Ajax Marklist,150,6,6,8,4,46,0.0,0.0214275888205698,0.003792794823265962
HTTP Request: Retrieve Carrot Results,150,9602,8683,14516,3270,26663,0.0,0.021402035961412984,29.706410760947247
TOTAL,212204,573,175,1522,0,36245,0.0,29.465525984438273,2495.397309395478
