sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Login AONE,114257,425,331,620,180,9290,0.0,3.9656208504532957,3378.993168146847
HTTP Request: Login/ Ajax MarkList,114249,7,6,9,3,3019,0.0,3.965721427100169,0.702440047421245
HTTP Request: Search Assist,88585,40,27,88,6,4535,0.0,3.076372025111614,2.4047516517853516
HTTP Request: Navigate To Subject Guide Search,10424,123,76,148,28,3176,0.0,0.36208675208148644,3.5804091488574104
HTTP Request: Navigate To Subject Guide Search / Ajax Marklist,10424,7,6,9,3,1054,0.0,0.36209335533682674,0.0901938508474631
HTTP Request: Navigate To Advanced Search,32314,143,114,173,47,3128,0.0,1.122433671287272,16.31538633961637
HTTP Request: Navigate Topic Finder,5211,90,73,100,19,1516,0.0,0.18105710456299692,12.497027217795349
HTTP Request: Navigate Topic Finder/ Ajax MarkList,5211,7,6,9,3,435,0.0,0.18105767074223048,0.047607247342724174
HTTP Request: Navigate To Advanced Search / Ajax Marklist,32311,7,6,9,3,1343,0.0,1.1224325497449592,0.30299968446674036
HTTP Request: Basic Search,41764,510,450,758,53,16979,0.0,1.4507812625923813,56.29257171982018
HTTP Request: Topic Finder,5211,2435,1929,3999,692,14161,0.0,0.18104663717597264,147.07902297810713
HTTP Request: Click on Topic,5211,255,209,364,69,31943,0.0,0.1810515750653172,16.208522533036355
HTTP Request: Click on Topic/ Ajax MarkList,5211,7,6,9,4,259,0.0,0.18105256896605398,0.04761170791064571
HTTP Request: Subject Guide Search,10423,171,121,230,26,3321,0.0,0.3620874342320441,5.2949955253103385
HTTP Request: Basic Search/ Ajax MarkList,41760,7,6,9,3,3012,0.0,1.4507208269108713,0.3069755807920533
HTTP Request: Subject Guide Search / Ajax Marklist,10420,7,6,9,3,807,0.0,0.3620971569222395,0.09015605241792461
HTTP Request: Subject Guide Search Result,10337,201,169,330,52,6377,0.0,0.35921079265628164,7.237292921196113
HTTP Request: Subject Guide Search Result/ Ajax MarkList,10337,7,6,9,3,1053,0.0,0.35921197850496644,0.08943920431957877
HTTP Request: Ajax Suggest Also Try,234905,11,7,14,4,4786,0.0,8.16118883859409,4.222397051347759
HTTP Request: Ajax Suggest Did You Mean,234871,11,7,14,4,3399,0.0,8.159268861476443,4.216887040608839
HTTP Request: Ajax Limit Expand Search Results (TY),233397,98,72,200,11,4643,0.0,8.108814884945938,13.18566308819716
HTTP Request: Ajax Limit Expand Search Results (SU),233368,116,95,217,15,6110,0.0,8.108083411862934,16.94497111426014
HTTP Request: Ajax Limit Expand Search Results (PU),233348,98,75,199,12,5862,0.0,8.107245163318876,15.654181940987018
HTTP Request: Retrieve Document,501789,256,193,517,49,39522,0.0,17.435196491814242,549.2648939774009
HTTP Request: SimilarArticlesBySubject ,560691,220,193,381,7,9221,0.0,19.484178415944577,56.786883262219604
HTTP Request: Advanced Search,32303,535,476,816,37,9874,0.0,1.1224450155525854,33.41174837768986
HTTP Request- BookMark Login,7715,300,271,410,145,7056,0.0,0.26818544096847374,27.796045668189414
HTTP Request: Advanced Search/ Ajax MarkList,32294,7,6,9,3,3903,0.0,1.1224789886246727,0.3030265880085014
HTTP Request: Limit By TY,6054,317,279,546,53,5161,0.0,0.2105322752515798,2.861235039469672
HTTP Request: Limit By TY/ Ajax MarkList,6054,7,6,9,3,533,0.0,0.21053754680148118,0.051262680700961356
HTTP Request: ATP Page,8307,178,134,282,33,11480,0.0,0.2890004789538454,2.9818666471507846
HTTP Request: Limit By SU,6129,364,354,578,55,8102,0.0,0.21319837425195337,2.9862233043411313
HTTP Request: ATP Page/ Ajax MarkList,8307,7,6,9,3,304,0.0,0.28898419186546553,0.06921626167177651
HTTP Request: Limit By SU/ Ajax MarkList,6128,7,6,9,3,317,0.0,0.21319939438568897,0.05205610346803537
HTTP Request: Click On Next Page Link,6907,361,321,513,128,7739,0.0,0.24029804890300133,3.7695488130917623
HTTP Request: Search Within Results,4196,910,901,1061,582,2691,0.0,0.14607585458726574,2.3538237816334644
