sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Login,5820,311,210,357,142,7114,0.0,0.20157171213245936,5.057437260847892
Common Ajax Requests,20971,53,51,57,26,1106,0.0,0.7264584473458442,8.120099478253982
BasicSearch,1163,114,61,117,27,3676,0.0,0.04031406703387016,0.9944840531801992
Navigate Case Study TAB,582,98,64,113,37,2502,0.0,0.020182261775448133,0.13688581933515467
Navigate Case Study TAB Ajax Call,582,291,268,422,157,1381,0.0,0.020182639011827475,1.318818326100643
Navigate Case Study TAB Publication Title,582,804,828,937,15,1453,0.0,0.020183424324626033,0.13123875698517276
Navigate Case Study TAB Subject Limiter,582,337,342,423,15,1079,0.0,0.02018377500542569,0.09864079696632659
Article Retrieve,1161,334,265,539,94,3890,0.0,0.040264969161230055,0.557756817358256
Basic Search : Ajax,1162,853,22,3922,13,8811,0.0,0.04033206128835042,1.4393957896460519
Navigate to Recent News,484,119,64,129,41,3982,0.0,0.016800919551816725,0.1139540836813189
Navigation Company Finder,582,147,91,141,60,4189,0.0,0.02018684065642195,0.17649394673996918
Navigation Company Finder Ajax Call,582,34,32,39,22,264,0.0,0.020187732733426993,0.08085529627639698
Navigate Recent News - Ajax Search,484,537,408,1149,33,5312,0.0,0.016800411013030418,0.7699228953445645
Navigate Recent News - Subject Limiter,406,149,148,261,33,649,0.0,0.014113386460152366,0.06992580358528683
Navigate Recent News - Publication Title,406,131,123,239,26,388,0.0,0.014113580253780249,0.07001608032373981
Recent News,406,408,352,545,209,4018,0.0,0.014113479676676172,0.13988559575570123
Company Finder by Employees,90,267,37,1153,34,3217,0.0,0.0031283903930885096,0.04309690429520354
Navigate to SWOT Reprot,483,121,65,123,49,3718,0.0,0.016771850709138503,0.11375564577432874
Navigate SWOT Report - Ajax Search,483,114,91,178,36,1791,0.0,0.0167718984653574,0.009408793867065378
Company Retrieve,491,1694,764,3040,74,13298,0.0,0.01706288113037869,0.15238075523204928
Navigate Market Share Reports,359,130,65,136,50,3163,0.0,0.012466097596835014,0.08455691848493439
Ajax Search Call,1161,390,198,368,12,14536,8.613264427217916E-4,0.04031487829785514,2.8320676731827863
Publication Title,789,717,744,906,375,1640,0.0,0.027397196534119216,0.012475935434565199
Navigate All Industries,372,122,64,115,50,3870,0.0,0.012932365570580315,0.08771603867589055
Subject Limiter,789,587,437,992,14,1187,0.0,0.027396613375797504,0.07829009123480252
Article Page Retrieve,1343,436,333,757,72,5519,0.0,0.0466336608222386,2.4600183852252897
NAICS Search Assist,65,150,50,57,43,2538,0.0,0.002256320900762182,6.137423363626698E-4
Company Finder by NAICS,65,67,35,49,32,1615,0.0,0.002256462987324406,0.009533386615512071
Navigate Company Histories,581,136,65,124,49,3812,0.0,0.020169698329702498,0.13680254925459426
Company Retrieve Hierarchy,491,39,20,44,16,2420,0.0,0.017069924808893328,0.00774105662834567
Navigation Comparision Charts: Company,406,134,83,149,46,5222,0.0,0.014098226231319459,0.1164131840604343
Navigate Company Histories Ajax Call,581,244,233,352,110,1343,0.0,0.020169719335751776,1.2604556797734374
Navigate Company Histories PublicationTitle,581,590,657,753,11,1439,0.0,0.020169541485917545,0.006980403081690704
Navigate Company Histories Subject Limiter,581,1136,1136,1254,34,1597,0.0017211703958691911,0.020169128382264763,0.10341370178454434
BasicSearch Publication Title,239,178,171,269,88,644,0.0,0.008331414319281968,0.04862420048053088
BasicSearch Display Group,239,14,10,11,5,401,0.0,0.008331458464681623,0.012696337115246101
BasicSearch Subject Limiter,239,190,196,271,103,378,0.0,0.008331478504524011,0.03958459954086233
Navigation Comparision Charts: Industry,372,171,85,164,38,5914,0.0,0.013068816276156735,0.10921275960439428
Navigate SWOT Reports,579,116,63,120,29,3668,0.0,0.02016501740739033,0.13887726557366234
ComparisonTool.Industry,372,160,97,159,68,3673,0.0,0.013069083491523699,0.45668787078254613
Navigate SWOT Reports Ajax Call,579,231,220,340,92,2876,0.0,0.02016494788057517,0.9758028317346372
Navigate Industry Essays,430,152,65,127,51,4105,0.0,0.015027289557837031,0.1019262636107054
Navigate SWOT Reports Publication Title,579,664,767,870,14,1405,0.0,0.020164467526587754,0.006784339887946159
Navigate SWOT Reports Subject Limiter,579,540,597,701,15,936,0.0,0.020164435222901112,0.10171670900936866
Navigate Investments Report,579,117,59,114,47,3771,0.0,0.02016466626676314,0.11415740464045739
SIC Search Assist,71,275,57,64,48,3078,0.0,0.0024800153551373257,6.272695087700853E-4
Company Finder by SIC,71,184,37,823,32,1049,0.0,0.0024802101066326164,0.029587312775139575
Navigate Financial Report,579,114,59,107,27,4918,0.0,0.02016487062912063,0.11495145550097148
Navigate SubjectGuide Search,1149,142,62,111,33,5584,0.0,0.04001222444845116,0.22059329406653536
Navigation Comparision Charts: Country,382,144,83,132,52,3665,0.0,0.013312150055112998,0.10999886818410076
SubjectGuide Search,1149,11,11,14,5,173,0.0,0.04001250312369149,0.024439785833947625
SubjectGuide Search Ajax Call,1149,653,630,935,252,1546,0.0,0.04001158490345142,0.4212231557501784
Subject Guide Result Link,1149,121,63,123,35,5029,0.0,0.04001278458962449,0.27139192419774716
Country Comparision Search Assist,382,135,116,194,90,268,0.0,0.013311820687684476,0.004712912956112809
Comparison Tool Country,382,529,414,856,86,6290,0.0,0.013311697758947805,0.13409712811010657
Subject Guide Search Ajax Call,1149,124,84,278,18,1389,0.0,0.04001270237886833,0.3289586314298523
Subject Guide Display Group,1149,55,34,136,5,1213,0.0,0.0400128723743642,0.012398088025898951
Subject Guide Publication Title,1149,58,33,124,15,297,0.0,0.04001294343848322,0.02574545012524156
Subject Guide Subject Limiter,1149,60,36,128,17,273,0.0,0.0400128291786505,0.04947639978736437
Industries Article Retrieve,371,622,661,877,75,4705,0.0,0.012937728515681259,0.11646731167593033
Company Comparision Search Assist,405,111,114,138,11,850,0.0,0.014110207198463304,0.16477361851403421
ComparisonTool.Company,405,146,104,147,20,2652,0.022222222222222223,0.014110351238695475,0.12230651849363605
Company Finder by State,91,166,38,809,32,1366,0.0,0.0032514105315616746,0.04054126931199403
Company Hierarchy Ajax Call,108,163,23,354,16,418,0.0,0.003803785125446192,0.0073170033315874666
Company Finder by Country,86,211,38,736,33,2368,0.0,0.0030424633424735773,0.039084722862014136
Company Finder by Revenue,89,260,37,1246,24,2093,0.0,0.0031636612062940646,0.04282665420690693
Company Finder by City,90,199,38,703,33,3911,0.0,0.0032127255917903013,0.03564825117558091
TOTAL,63156,221,61,584,5,14536,1.7417189182342138E-4,2.187328043515485,31.149529130101673
