sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Home Page / Product Page,15547,748,666,971,299,9596,0.0,0.5398159486984921,486.3874914598006
HTTP Request: Saved Item Count,87685,6,4,7,2,1051,0.0,3.0451197601827107,1.1977276819891853
HTTP Request: Bread Crumb,87704,10,7,12,4,1006,0.0,3.0460397107665402,2.2356545067948597
HTTP Request: Header Bookmark Tool,62940,11,8,14,4,1008,0.0,2.186197245356736,1.946555542839306
HTTP Request: FavIcon Servlet,15535,6,4,7,2,643,0.0,0.5396661010970559,0.29972972696178096
HTTP Request: Browse Items,2308,314,288,431,116,4104,0.0,0.0802341613837153,2.8511211719170912
HTTP Request: Search Assist,9231,88,61,185,6,2306,0.0,0.3207794506272262,0.5495645680018901
HTTP Request: Go To Advanced Search Page,7625,295,260,383,140,5580,0.0,0.26502400213770966,6.404920595072555
HTTP Request: Perform Basic Keyword Search,9230,848,731,1345,153,8209,0.0,0.32077030469078094,31.618682490970123
HTTP Request: Topic Page,2308,738,681,994,271,5426,0.0,0.08022540976483666,3.2911936055755793
HTTP Request: Perform Advanced Search WIth Default Date Range,6098,759,708,1015,300,6174,0.0,0.2120470398087195,35.79716825905877
HTTP Request: Display Group Ajax Calls,29943,345,249,626,8,34893,0.0,1.0408592255886393,4.150341071399769
HTTP Request: Perform Advanced Search WIth New Date Range,1525,1144,958,1942,334,5445,0.0,0.05301769967221851,4.980834642066559
HTTP Request: Saved Item List,53076,6,4,7,2,935,0.0,1.845592968720579,0.7240822212084836
HTTP Request: Navigation Portlet,30350,130,81,273,8,2494,0.0,1.0556482083476,1.197758883744889
HTTP Request: Add Search To History,30352,11,8,13,5,1007,0.0,1.0557661363916138,0.3404282763469079
HTTP Request: Suggested Portals,14722,151,132,273,19,4032,0.0,0.5121608990932053,7.317296540695275
HTTP Request: Reference List,14718,108,88,194,8,1153,0.0,0.5120728355589668,1.4419730047538437
HTTP Request: Biographies List,14717,59,39,150,7,3061,0.0,0.5121176885908968,0.8502121346372435
HTTP Request: Primary Sources List,14716,130,115,239,19,3216,0.0,0.5121113142636016,0.9609007646435092
HTTP Request: Magazine List,14715,238,189,442,27,3235,0.0,0.5120825200710074,1.4179529623386535
HTTP Request: News List,14713,561,205,662,52,14824,0.0,0.5120657738445658,1.4132452137529181
HTTP Request: Academic Journal List,14711,205,178,378,27,1403,0.0,0.512057454579832,1.4138324862914726
HTTP Request: Case Overview List,14708,318,293,416,102,8140,0.0,0.5120266738464587,7.842955863171472
HTTP Request: Website List,14706,155,137,283,20,1322,0.0,0.5120146753864908,0.913401230944679
HTTP Request: Audio List,14705,200,175,356,25,3621,0.0,0.5120390816919442,1.3682885905017848
HTTP Request: View Full List Page,11741,597,521,806,164,15116,0.0017886040371348267,0.40893855176681065,19.01780884933047
HTTP Request: View More,4572,532,499,721,181,5564,0.0,0.15942778397367893,4.399613399501617
HTTP Request: MLA7 Citation - Get Bookmark,22752,13,9,17,6,1019,0.0,0.7934986402023896,0.34314781063368743
HTTP Request: MLA7 Citation - Get Citation,22742,24,16,37,10,1048,0.0,0.7934471079686762,0.9402944314549548
HTTP Request: Sidebar Limiter Ajax Calls,54429,226,128,523,13,5270,0.0,1.8990397757926563,1.8185045962042337
HTTP Request: Bookmark Tool,22738,12,8,14,5,1048,0.0,0.7934369940260175,0.5460223615964875
HTTP Request: Translate Form,22734,13,10,17,6,1011,0.0,0.7934654244666568,1.153343036661181
HTTP Request: View Document,15920,620,569,836,147,10484,0.0,0.5556759946818456,31.570889518320275
HTTP Request: Email Form,22730,15,10,18,7,678,0.0,0.7934723442423038,1.1653669948899228
HTTP Request: Subject Linking Portlet,8462,13,9,16,6,626,0.0,0.2954277923259227,0.44238643747982287
HTTP Request: Subject Linking Ajax,8459,621,534,1055,6,7009,0.0,0.2953448738845267,1.8350350038360965
HTTP Request: Related Subjects,22721,14,10,18,6,755,0.0,0.7935209906924992,1.0230850871510158
HTTP Request: Sort By Title,1153,478,440,658,143,6251,0.0,0.040273406481203144,1.3534894893373102
HTTP Request: Clear Document In Session,22719,13,9,16,6,574,0.0,0.7935035741190631,0.255939912748224
HTTP Request: Sort By Relevance,1152,484,417,637,144,11934,0.0,0.04027017089863515,0.8906541470983175
HTTP Request: Go To Home Page,4554,207,183,293,60,6658,0.0,0.15920330944316494,2.723066669949463
HTTP Request: Print Document Tool (Audit Logging),6396,120,107,151,62,6325,0.0,0.22367197127570693,2.456833800925983
HTTP Request: Download,6395,17,12,23,7,1070,0.0,0.22364758260919196,0.2618806950462393
HTTP Request: Download Citation Pop Up,6397,10,7,12,4,465,0.0,0.22374520370484563,0.2848105951446661
HTTP Request: Download Citation CSS,4169,11,7,12,5,1009,0.0,0.14586199593860585,0.29203224900182145
HTTP Request: Full List Pagination,743,633,531,848,158,11043,0.0,0.02600492952664098,1.0402534406788007
HTTP Request: Download Citation i18n,6396,10,7,12,5,500,0.0,0.2237760123870309,0.3811652613666039
HTTP Request: Perform Related Subjects Search,2993,696,632,957,172,8908,0.0,0.10478124193813719,13.175999360230085
HTTP Request: Download Citation,6396,21,14,31,10,646,0.0,0.22377714762997575,1.4752494408020402
HTTP Request: Sort By Content Level,870,482,450,667,149,5684,0.0,0.030453908150032894,0.6887487289212575
HTTP Request: Follow Spotlight Links,2278,649,605,806,146,6053,0.0,0.07985609077092502,3.3696483541819195
HTTP Request: Portal Page Ajax Calls,29589,348,258,709,8,4683,0.0,1.0373557088132814,4.3361351373044
HTTP Request: Save Highlight,319,5,4,7,3,111,0.0,0.011235938038627182,0.0076257132619256
HTTP Request: Save Note,319,6,4,7,3,175,0.0,0.011235822083187632,0.007955531365713118
HTTP Request: Featured Links,2264,580,547,781,223,5381,0.0,0.07983931139581332,1.8467162065215177
TOTAL,943690,147,14,464,2,34893,2.2253070393879346E-5,32.76243056136348,707.1735110498778
