sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
BeanShell Sampler: Environment-Specific Variables,20,1,1,2,1,5,0.0,1.0254306808859721,0.0
Home Page,20,1186,1018,1400,881,2276,0.0,0.9752291788570314,763.6667798084894
ModalDisplayPortletWin,20,6,5,8,4,15,0.0,1.074517810132703,1.9718556083113954
NamedUserSessionsPortletWin?id=submitLogin,20,593,544,887,342,1283,0.0,1.0448774881145184,0.45973589088866834
Refresh Page,20,129,125,145,85,219,0.0,1.1124089215195505,19.762422479003284
SavedItemServlet,24933,5,5,6,3,141,0.0,0.8656805623100953,1.9208784788020756
SearchServlet ,5861,22,22,34,4,152,0.0,0.20358891018797323,0.30169891885509115
nGramViewer,2341,237,179,254,95,8878,0.0,0.08131048465876775,3.4678689157154827
BasicSearchPortletWin,5861,759,634,1119,206,8798,0.0,0.20357312691622628,11.091079273608553
SearchHistoryWin,5861,7,6,7,5,1006,0.0,0.20356237278219994,0.06563724367673308
AdvancedSearchPage,1757,267,210,289,124,6018,0.0,0.06102838914229583,3.6937377509584097
AdvancedSearchPortletWin,1756,1567,1394,2252,249,9739,0.0,0.06101102565822854,2.849183485845407
BrowseIndexPortletSubjectWindow,5859,112,87,240,23,927,0.0,0.20353171822456145,0.2113668339454917
NGramViewerWindow,2340,533,505,674,264,3319,0.0,0.0813302599763468,0.09429074277388459
HitCountsListWindow,7613,41,9,137,6,549,0.0,0.2644517331644844,0.30461619634822135
BrowseIndexPortletPublicationYearWindow,6443,408,458,532,17,2847,0.0,0.2238776357048379,0.32487383227598665
SearchDocumentToolsPortletInstanceNCCOWin,13465,16,9,12,7,5288,0.0,0.4679424821017648,0.24394568516631715
NewspapersDetailsWindow,9247,301,7,841,5,7857,0.0,0.32140454516147476,6.907749203222943
/DVI-NCCO/images/16x16_dvi_newspapers.png,5854,4,4,5,3,185,0.0,0.203547356853774,0.058170915864791846
ViewImages Newspapers,1850,897,832,1944,0,6319,0.0,0.06434385579129831,37.03748894655161
/DVI-NCCO/images/16x16_manuscripts.png,5854,4,4,5,3,155,0.0,0.20354359878503875,0.05724096665972194
Newspapers Public Tags,1850,4,4,5,3,126,0.0,0.06434839459103395,0.022449451053411045
Newspapers Private Tags,1850,4,4,5,3,327,0.0,0.06434919364721108,0.022446502852199745
/DVI-NCCO/images/16x16_monographs.png,5853,4,4,5,3,1003,0.0,0.2035329608120287,0.05724884097185268
NewspapersDetailsPage/MLA7CitationWindow,1850,16,9,14,7,2770,0.0,0.06435241021690867,0.0242040339517055
NewspapersDetailsPage/MLA7CitationWindow (for EZProxy),1850,20,9,11,7,5173,0.0,0.06434353800977995,0.02420779567568645
