sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request : Launch,3117,73,61,90,39,3053,0.0,0.10829048239223509,15.753894800238976
HTTP Request : Login,3117,392,279,701,180,8323,0.0,0.10828397414899896,93.02161616092762
HTTP Request : Login / Ajax Marklist,3117,7,5,8,4,1011,0.0,0.10828562182679616,0.019175782421807758
HTTP Request : Basic search,3732,271,250,370,69,8683,0.0,0.12967710158473966,3.5648966372277004
HTTP Request : Navigate To Advance Search,1195,230,84,529,36,1113,0.0,0.08525395512360219,0.8862927825927832
HTTP Request : Navigate To Advance Search/ Ajax Marklist,1195,6,5,8,4,110,0.0,0.08525672870003323,0.015101563482659602
HTTP Request : Advance Search/ Single Term,836,167,140,253,59,1456,0.0,0.060014615999781765,0.9062188508170171
HTTP Request : Advance Search/ Ajax Marklist,1194,6,5,8,4,75,0.0,0.08571602095605955,0.015174952752094477
HTTP Request: Ajax BrowseIndex Search Results (SU),4778,44,35,74,14,1982,0.0,0.16598335462781427,0.3079122327687097
HTTP Request: Ajax BrowseIndex Search Results (TY),4777,35,25,63,14,1067,0.0,0.16597065769408284,0.16661375544885457
HTTP Request: Ajax BrowseIndex Search Results (PO),4777,43,34,73,16,325,0.0,0.1659707614899748,0.30787647372446936
HTTP Request: Ajax BrowseIndex Search Results (WO),4777,33,24,59,12,1023,0.0,0.16597204741651495,0.1131913098849609
HTTP Request: Ajax BrowseIndex Search Results (PU),4777,35,25,61,13,616,0.0,0.16597206471611098,0.17508265954737884
HTTP Request: Ajax BrowseIndex Search Results (AU),4777,38,27,63,15,1315,0.0,0.16597268173739382,0.11318787448737215
HTTP Request : AdvancedSearch - Multiple Search Terms,358,138,120,229,35,652,0.0,0.026524648659542058,0.3597883738917809
HTTP Request :  Basic Search/ Ajax Marklist,3722,6,5,8,3,343,0.0,0.12948022629609116,0.022947316393595117
HTTP Request : Retrieve Document,4729,1006,956,1350,483,4855,0.0,0.16450716658477835,15.069301398338311
HTTP Request : DVI Document Image Tiles,48319,473,507,663,43,6031,0.0,1.6812761289096438,32.09616896075691
HTTP Request :  Retreive Doc / Ajax Marklist,4725,7,5,9,3,1008,0.0,0.1645731625232253,0.029155511265686045
HTTP Request: Download Citation JS,945,9,9,14,0,86,0.0,0.032936920360304114,0.09273890135137919
HTTP Request: Download Citation/en,945,8,8,11,5,89,0.0,0.03293691806434508,0.04996640886368713
HTTP Request: Download Citation CSS,945,7,8,11,0,115,0.0,0.03293690084466247,0.048538191231838
HTTP Request: Download Citation Pop Up,945,9,8,12,5,214,0.0,0.0329368916608391,0.04419751144487277
HTTP Request: Get Citation,945,17,15,20,11,377,0.0,0.03293686640535126,0.13012444815935895
HTTP Request: Download Citation,945,15,12,17,9,197,0.0,0.0329368572215471,0.01807861369735148
HTTP Request: Navigate to NGrams Search Form,935,510,494,571,346,3126,0.0,0.03270238826066105,2.115851522459248
HTTP Request :Navigate To NGram Search / Ajax Marklist,935,6,5,8,4,138,0.0,0.03270298647519902,0.005792189941411288
HTTP Request: NGram Search,934,66,68,100,15,650,0.0,0.03273776193933735,0.021072681939060443
HTTP Request: Retrieve Carrot page,37,93,87,119,68,177,0.0,0.00133714160900635,0.09312474174193991
HTTP Request: Retrieve Carrot Results,37,1640,1562,3123,553,4102,0.0,0.001337058450449716,0.2642850525885867
HTTP Request : Retrieve Topic Finder/ Ajax Marklist,37,6,6,8,4,12,0.0,0.0013372090711926494,2.3770331224879894E-4
TOTAL,116604,278,154,637,0,8683,0.0,4.04868941023834,164.5096333367372
