sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request : Login,22954,864,606,1633,163,15608,0.0,3.1880577694845624,6858.318694877349
HTTP Request : Login / Ajax marklist,22952,7,5,9,3,1015,0.0,3.18867282052365,0.564800870450928
HTTP Request : PerformBasicSearch,17171,559,478,892,36,11142,0.0,2.388746473604497,235.52000718851525
HTTP Request : PerformBasicSearch / Ajax marklist,17171,7,5,9,3,1063,0.0,2.3889827699956787,0.4231464948971684
HTTP Request : SubjectLimiter,31649,91,60,169,5,9448,0.0,4.403361185530807,8.870982203789126
HTTP Request : DocumentTypeLimiter,31477,114,73,222,8,7871,0.0,4.379451347700082,6.4877732396176375
HTTP Request : PublicationTitleLimiter,31476,120,74,251,9,8532,0.0,4.379319527541044,8.860208692120036
HTTP Request : PublicationLangLimiter,31474,115,69,226,9,9431,0.0,4.379206380501192,4.932842946277918
HTTP Request : GuidedReadingLevelLimiter,31474,150,76,326,8,8598,0.0,4.379214301556086,3.0042965981380756
HTTP Request : AccelReaderReadingLevelRangeLimiter,31473,149,76,327,7,8061,0.0,4.379222008731729,2.9894577651201293
HTTP Request : AccelReaderInterestLevelLimiter,31470,149,76,326,7,10591,0.0,4.37971624949881,2.9911512718086417
HTTP Request : LexileRangeLimiter,31470,151,77,326,8,11678,0.0,4.380005185859333,2.9976209600645687
HTTP Request : eToc_HomePage,3729,154,127,226,59,3837,0.0,0.5190455908267148,42.67589379948262
HTTP Request : etoc / Ajax marklist,3891,6,5,9,3,238,0.0,0.5416417549972403,0.09595637385217816
HTTP Request : LexileCodeLimiter,31470,150,75,327,7,8873,0.0,4.3801758834781355,2.9874103086959227
HTTP Request : LoginwithBookMark,2516,802,565,1502,179,9599,0.0,0.35038776617493544,54.5759470977577
HTTP Request : LoginwithBookMark / Ajax marklist,2516,6,5,9,3,125,0.0,0.3504126052717599,0.06207254293007054
