sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Login ITOF,23952,376,297,503,174,6175,0.0,3.3198775171441066,2821.1306524533197
HTTP Request: Login/ Ajax MarkList,23942,7,6,9,3,1018,0.0,3.3179437396366227,0.5878404388944437
HTTP Request: Navigate To Advanced Search,6771,149,103,171,44,1437,0.0,0.9411261712301996,12.64894154970233
HTTP Request: Search Assist,28376,31,16,76,7,1096,0.0,3.942552333019515,3.1743202482577657
HTTP Request: Navigate To Advanced Search / Ajax Marklist,6769,7,6,9,3,322,0.0,0.9414503815732194,0.2604420202726854
HTTP Request: Basic Search,8160,555,475,861,62,3673,0.0,1.134756980528488,45.29229577842243
HTTP Request: Basic Search/ Ajax MarkList,8153,7,6,9,3,1019,0.0,1.1345173243147113,0.23611851547093116
HTTP Request: Ajax Suggest Also Try,42501,11,7,13,4,1005,0.0,5.913648295643177,3.0715102171437083
HTTP Request: Advanced Search,6760,573,483,924,30,6769,0.0,0.9409447224206109,25.408247188014187
HTTP Request: Ajax Suggest Did You Mean,42479,10,7,13,4,844,0.0,5.913123754933114,3.0524655937062866
HTTP Request: Navigate To Subject Guide Search,1866,180,71,732,30,1508,0.0,0.26010115230664843,2.479440985203855
HTTP Request: Navigate To Subject Guide Search / Ajax Marklist,1866,7,6,9,4,1011,0.0,0.26012167449215634,0.08208753520389998
HTTP Request: Ajax Limit Expand Search Results (TY),31637,97,74,202,11,1085,0.0,4.405314560792074,6.357608438331514
HTTP Request: Navigate Topic Finder,931,79,68,90,18,1179,0.0,0.12980691674273595,8.903659030282727
HTTP Request: Advanced Search/ Ajax MarkList,6754,7,6,9,3,202,0.0,0.9409904000588503,0.26035438837086894
HTTP Request: Ajax Limit Expand Search Results (SU),31616,113,93,216,13,1094,0.0,4.405538638271082,7.893497541941519
HTTP Request: Topic Finder,931,2784,1924,5375,684,13619,0.0,0.12976609904568254,100.39301472033314
HTTP Request: Click on Topic,930,241,196,346,77,10482,0.0,0.12982879351358598,10.059573409893932
HTTP Request: Click on Topic/ Ajax MarkList,930,6,6,9,4,134,0.0,0.12983093220563768,0.043864155897563116
HTTP Request: Click on Topic/ Scribble,930,9,6,9,4,1078,0.0,0.12982973597936573,0.045566376464632984
HTTP Request: Click on Topic/ doc Linking,930,139,75,337,7,1610,0.0,0.12982805042521478,2.7215061925798802
HTTP Request: Ajax Limit Expand Search Results (PU),31599,103,81,208,12,1111,0.0,4.404390479971097,7.760855967195383
HTTP Request- BookMark Login,1380,321,292,418,159,1671,0.0,0.1925255982314431,40.91323133307375
HTTP Request: Subject Guide Search,1864,167,105,218,27,2340,0.0,0.2599869002308639,2.9316010993460297
HTTP Request: Retrieve Document,93174,255,175,377,4,57085,0.0,12.997848757961487,363.95625874190563
HTTP Request: Subject Guide Search / Ajax Marklist,1863,7,6,9,4,183,0.0,0.26010511150523236,0.08210854669375409
HTTP Request: Subject Guide Search Result,1313,193,164,330,53,1337,0.0,0.1834355850505447,3.017488305806819
HTTP Request: Subject Guide Search Result/ Ajax MarkList,1313,7,6,9,3,155,0.0,0.183439044798106,0.05813158050899375
HTTP Request: SimilarArticlesBySubject ,104000,251,201,441,7,12790,0.0,14.516689167534876,40.10500604907123
HTTP Request: Limit By TY,849,368,317,618,60,1576,0.0,0.11884715737617393,1.5188886423308097
HTTP Request: Tab Visit,2688,336,262,609,5,5907,0.0,0.3759605666598505,24.69675902768667
HTTP Request: Tab Visit/ Ajax MarkList,2687,7,6,9,4,188,0.0,0.3762316791834526,0.09202039382754615
HTTP Request: Limit By TY/ Ajax MarkList,849,6,6,9,4,116,0.0,0.11884053629696528,0.02993554637496471
HTTP Request: Click On Next Page Link,1386,367,327,517,140,4699,0.0,0.19415030455402932,2.957928173562528
HTTP Request: ATP Page,1642,230,153,367,41,10151,0.0,0.23004380499178245,2.407820000590871
HTTP Request: ATP Page/ Ajax MarkList,1642,6,6,9,4,101,0.0,0.23007732812123646,0.05739125343241885
HTTP Request: Search Within Results,797,343,277,611,31,2032,0.0,0.11189905329469703,1.25067657048461
HTTP Request: Search Within Results/ Ajax MarkList,797,6,6,9,4,98,0.0,0.11190112714060046,0.027373770447754738
HTTP Request: Limit By PU,818,385,369,599,56,1949,0.0,0.11472596063356781,1.5083087919005718
HTTP Request: Navigate To Publication Search,1470,129,118,167,36,1412,0.0,0.20621651611925768,2.1701457995484277
HTTP Request: Navigate To Publication Search / Ajax Marklist,1470,6,6,9,3,136,0.0,0.2062185122218137,0.08399450645982996
HTTP Request: Limit By PU/ Ajax MarkList,818,8,6,9,3,1005,0.0,0.11472917882800637,0.028992939211487954
HTTP Request: Publication View All,739,243,247,287,122,1217,0.0,0.10368197273542928,1.3144945725240669
HTTP Request: Limit By SU,841,407,392,626,58,1928,0.0,0.11814397915945826,1.6163355568827438
HTTP Request: Publication Search/ Ajax Browse Index (PTA),1469,13,11,16,7,231,0.0,0.20621329501612365,0.1546967104627769
HTTP Request: Limit By SU/ Ajax MarkList,841,7,6,9,4,151,0.0,0.11815031951864352,0.02914341804203145
HTTP Request: Publication Search/ Ajax Browse Index (PF),1469,12,11,16,7,218,0.0,0.20615373820299618,0.15620244469880362
HTTP Request: Publication Search/ Ajax Browse Index (PCD),1468,12,11,15,6,214,0.0,0.2061534559702982,0.15562869479690022
HTTP Request: Publication Search/ Ajax Browse Index (PLG),1466,13,11,16,6,205,0.0,0.20597660943111537,0.15138440522603122
HTTP Request: Retrieve Document/ Ajax MarkList,10913,7,6,9,3,1012,0.0,1.5331523652524426,0.37714171396684526
HTTP Request: Publication Search/ Ajax Browse Index (PUB_SU),1465,13,11,16,6,284,0.0,0.20595862916748148,0.15415965500840073
HTTP Request: ATP Publication,1083,127,103,164,27,8239,0.0,0.15222371010083732,1.4840915406610191
HTTP Request: ATP Publication/ Ajax MarkList,1082,6,6,9,3,111,0.0,0.15211248676220698,0.062333461121763516
HTTP Request: DocLinking/getTerms,10904,130,67,338,6,2025,0.0,1.53235296845607,26.16080442962292
HTTP Request: Retrieve Document/ Scribble,10898,7,6,9,4,861,0.0,1.5321356956546983,0.5374393122499015
HTTP Request: Save This Document,10885,115,104,198,29,1079,0.0,1.531539225765766,0.6714147577769057
HTTP Request: Document Download,10862,9,8,12,5,1068,0.0,1.528327813511926,2.5460532672351253
HTTP Request: Related Document,9536,409,396,614,52,1805,0.0,1.341690194785671,18.19864385446868
HTTP Request: Print Document,10860,14,9,20,6,499,0.0,1.5283601582120157,0.24086806784525847
HTTP Request: Related Document / Ajax Marklist,9532,77,63,152,4,1655,0.0,1.342180384143516,3.127482095798406
HTTP Request: Navigate Citation,10854,20,15,28,10,404,0.0,1.5280682227414957,6.6013184159497715
HTTP Request: Citation Tools/ Popup Window,10853,9,8,12,5,259,0.0,1.5282727645120784,2.3451791418138694
HTTP Request: Header Quick Search,10841,120,109,205,28,1197,0.0,1.5270719673338162,10.923950346232333
HTTP Request: Popular Searches,370,536,464,890,216,1183,0.0,0.052768454162397053,0.9197432369025488
HTTP Request: Popular Searches/ Ajax MarkList,370,7,5,8,4,118,0.0,0.05277187105236096,0.019010576267405627
HTTP Request: Publication Search,731,93,69,128,20,1080,0.0,0.10458471641017181,1.0245862083251007
HTTP Request: Ajax Limit Expand Search Results (GS),85,52,32,116,13,188,0.0,0.012345323983420666,0.008420464088323967
TOTAL,662020,148,77,338,3,57085,0.0,91.72146003960808,3621.604770824853
