sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request : Launch,2925,54,44,65,30,1071,0.0,0.4062549653384652,59.32310380364718
HTTP Request : Login,2920,674,484,1298,272,5008,0.0,0.4063474251002196,252.71066000284722
HTTP Request : Login / Ajax Marklist,2920,6,5,8,3,1014,0.0,0.406370497724534,0.0720047510904159
HTTP Request : Basic search,1752,1110,864,1972,348,6272,0.0,0.24389347534838346,11.68958008759771
HTTP Request : Navigate To Advance Search,1168,680,621,1302,61,3857,0.0,0.1627463785795669,2.5482557098654266
HTTP Request : Navigate To Advance Search/ Ajax Marklist,1168,6,5,8,3,109,0.0,0.16275860223804225,0.02884125019926781
HTTP Request: Ajax BrowseIndex Search Results (SU),2682,428,241,973,99,5028,0.0,0.3747374427676582,0.8825941902457604
HTTP Request: Ajax BrowseIndex Search Results (TY),2682,425,232,1016,86,3708,0.0,0.3747332016970021,0.4366741943253629
HTTP Request: Ajax BrowseIndex Search Results (PO),2682,413,231,941,94,4533,0.0,0.37472911779376483,0.841701835362301
HTTP Request: Ajax BrowseIndex Search Results (WO),2682,405,231,929,92,3461,0.0,0.3747275470854524,0.8957972937217068
HTTP Request: Ajax BrowseIndex Search Results (PU),2682,396,224,918,93,5587,0.0,0.37471953667787516,0.893544455043296
HTTP Request: Ajax BrowseIndex Search Results (AU),2682,385,225,884,92,4399,0.0,0.3747149295397615,0.7771419500698644
HTTP Request :  Basic Search/ Ajax Marklist,1747,7,5,8,3,1009,0.0,0.2440869005252968,0.04323759368424097
HTTP Request : RetrieveDocument,26475,989,731,1924,113,10745,0.0,3.6904267889718474,170.59276032463106
HTTP Request : Advance Search/ Single Term,817,1751,1255,3493,355,9235,0.0,0.11390528378309422,4.356143793692157
HTTP Request : Advance Search/ Ajax Marklist,1164,6,5,8,3,219,0.0,0.16237835747595397,0.02877411803372085
HTTP Request : AdvancedSearch - Multiple Search Terms,348,1681,1288,3145,352,8737,0.0,0.04873313455442511,1.513172361464862
HTTP Request :DVI Document Image Tiles,21655,539,427,953,3,6054,0.0,3.0220486042545365,1305.8784540367933
HTTP Request :  Retreive Doc / Ajax Marklist,26438,6,5,9,3,1053,0.0,3.6909075070138133,0.653849922625034
Download Citation/en,1587,9,7,12,5,154,0.0,0.22199679048874543,0.3367689268088332
Download Citation JS,1587,7,8,12,0,126,0.0,0.22199654205764355,0.6065974968910692
Download Citation CSS,1587,7,7,11,0,324,0.0,0.2219961694120333,0.3175151970156553
Download Citation Pop Up,1587,9,7,12,5,149,0.0,0.22199579676767406,0.28970672232508354
HTTP Request: Get Citation,1587,19,15,22,11,253,0.0,0.22199486516224928,1.1706839698340172
HTTP Request: Download Citation,1587,15,12,18,9,244,0.0,0.22199477200213685,0.14258368727301315
HTTP Request: Navigate to NGrams Search Form,431,860,662,1408,473,4245,0.0,0.06094508720379414,7.636515509490677
HTTP Request :Navigate To NGram Search / Ajax Marklist,431,6,5,8,3,209,0.0,0.0609557407579217,0.010798020872461922
HTTP Request: NGram Search,431,1688,471,3496,128,21122,0.0,0.06095703391841714,0.05858860652927621
HTTP Request: Retrieve Carrot page,17,254,77,104,56,3054,0.0,0.002581649212186964,0.1889180538791709
HTTP Request: Retrieve Carrot Results,17,3001,2800,4307,1550,5611,0.0,0.002581034618354557,0.8110942802982339
HTTP Request : Retrieve Topic Finder/ Ajax Marklist,17,5,5,7,4,12,0.0,0.002582097799536255,4.56405958707092E-4
TOTAL,118455,446,180,1134,0,21122,0.0,16.448368743392116,1817.650512189886
