sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
LaunchMLA,1012,69,55,76,39,1429,0.0,0.14073847648095958,20.318374795976144
Login,1012,342,298,474,172,1669,0.0,0.14073358353873205,120.72310548907737
NavigateToAdvancedSearchPage,598,1070,1245,2223,54,4813,0.0,0.08345259285670924,1.218425681401585
NavigateToSubjectGuideSearch,597,578,94,2049,46,4747,0.0,0.08317711500803557,1.107070708950805
BasicSearch,799,475,488,816,40,1530,0.0,0.11141758306118067,3.856102310041039
HomePage,294,35,32,46,20,208,0.0,0.04124777030547762,0.3277617736604366
BookMarkLaunch/BasicSearch,78,521,483,812,99,2108,0.0,0.010975894964625253,0.18672186137599447
SubjectGuideSearch/AllDates,239,191,179,316,44,421,0.0,0.03350070134208856,0.36649865277945787
SubjectLink,505,573,364,1365,74,2713,0.0,0.07049931664523766,1.0434568247090332
AdvancedSearch/singleSearchTerm,538,639,628,812,331,1386,0.0,0.07509922030816923,1.8272263328750606
BookMarkLogin/BasicSearch,61,672,676,979,224,1422,0.0,0.008586789070171803,0.15002796513087957
RetrieveDocument,1452,300,285,475,0,1503,0.0,0.20290537580465187,6.333902922066239
SearchWithinResult,518,277,164,679,37,1080,0.0,0.07250893658645564,0.7872483582080047
CitationTools,321,25,21,33,16,136,0.0,0.045059151717252,0.2888669091976678
PrintDocument,278,15,9,25,6,131,0.0,0.03899897760953663,0.006144689828014509
NavigateToDownload,251,8,7,11,5,55,0.0,0.03518320356665171,0.05823262061005432
Download,250,15,8,13,5,244,0.0,0.03511714870103774,0.06638608891570746
MarkItem,250,108,93,195,28,346,0.0,0.03514057565604292,0.013356026838895781
ViewMarkedItem,250,155,146,228,70,340,0.0,0.03515293848334193,0.32665469868764235
RemoveAllMarkedItem,250,40,37,51,23,187,0.0,0.035165225923917076,0.24887597981748122
LimitExpand,95,349,242,699,70,1092,0.021052631578947368,0.013396572677252874,0.17668823432608047
NextDocument,94,247,243,391,4,618,0.0,0.01333527782490837,0.14683587793901012
BookMarkLaunch/AdvancedSearch,34,253,215,506,74,720,0.0,0.004796477692499226,0.08361185306625417
AdvancedSearch/multiSearchTerm,60,594,586,760,375,835,0.0,0.008452493534899007,0.13951718295964624
SubjectGuideSearch/BeforeDate,90,210,196,341,57,576,0.0,0.012699310385115055,0.12625809819149122
SubjectGuideSearch/OnDate,88,127,108,202,44,1155,0.0,0.012722136821666147,0.09728202050700029
SubjectGuideSearch/AfterDate,88,2222,2219,2371,1890,2598,0.0,0.01270958539599313,0.108221741654063
SubjectGuideSearch/BetweenDate,88,289,234,437,56,1543,0.0,0.012688448695843754,0.10682969200989641
PreviousSearch,36,34,28,41,18,154,0.0,0.005152727560551348,0.036425803013229195
SortBy/DateAsc,19,464,470,640,94,691,0.0,0.002719258461080041,0.03597538691827727
SortBy/DateDsc,17,544,583,712,144,867,0.0,0.0025200316575271046,0.03638469420972326
BookMarkLogin/AdvancedSearch,17,468,419,890,154,1114,0.0,0.0024647665249909203,0.03875012822222915
Logout,10,178,42,403,37,472,0.0,0.0015530714005939567,0.027050439119290483
TOTAL,10289,350,200,767,0,4813,1.943823500826125E-4,1.4298094069202276,160.1841634798551
