sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Home Page / Product Page,76800,829,660,1480,9,119773,1.3020833333333334E-5,2.660039934542236,2497.702105199776
HTTP Request: Saved Item Count,555940,10,6,9,3,6898,0.0,19.25606285940376,7.573679892096913
HTTP Request: Bread Crumb,552813,13,9,14,5,7199,0.0,19.150625306214867,14.444900279374135
HTTP Request: Header Bookmark Tool,449702,14,10,16,5,6750,0.0,15.57839676389259,14.833381897698974
HTTP Request: FavIcon Servlet,3241625,0,0,0,0,5494,0.0,112.29654289638735,1.477149019716524
HTTP Request: Search Assist,78046,61,43,129,4,6382,0.0,2.7101868940659526,4.596659844721511
HTTP Request: Go To Advanced Search Page,65996,298,253,384,36,8947,1.3637190132735318E-4,2.292163057136183,52.34908765420463
HTTP Request: Perform Basic Keyword Search,78037,855,748,1331,37,210626,7.30422748183554E-4,2.710534555051982,202.30032659214555
HTTP Request: Saved Item List,386631,9,6,9,3,5976,0.0,13.431829688883875,5.269719519597591
HTTP Request: Perform Advanced Search WIth Default Date Range,52768,821,707,1270,180,10876,0.0,1.8334508889637846,116.9523764447073
HTTP Request: Navigation Portlet,301274,119,69,286,8,7631,0.0,10.468273096304644,11.660645227490114
HTTP Request: Add Search To History,301266,14,9,15,6,7447,0.0,10.468837221197962,3.381287584441674
HTTP Request: Suggested Portals,141303,143,124,253,20,6932,0.0,4.910316178032818,17.170489604544024
HTTP Request: Reference List,141295,134,111,227,8,7343,0.0,4.9103651154206,12.575105616171237
HTTP Request: Biographies List,141287,66,41,142,8,8135,0.0,4.910440341244793,7.404698810930686
HTTP Request: Primary Sources List,141278,153,136,263,20,6558,0.0,4.910599101919071,7.923422921941328
HTTP Request: Magazine List,141273,283,248,475,21,8363,0.0,4.910318638050362,13.860473277641168
HTTP Request: News List,141263,374,285,658,19,7525,0.0,4.91007636038917,13.386841800586884
HTTP Request: Academic Journal List,141246,245,218,408,20,7732,0.0,4.909962981133076,12.666066297429456
