sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Home Page / Product Page,21329,813,654,1479,320,9337,0.0,0.7400746667295858,623.3599106917785
HTTP Request: Saved Item Count,65852,8,6,9,4,6290,0.0,2.2851070442106374,0.8987851327140147
HTTP Request: Bread Crumb,65857,12,9,14,5,5500,0.0,2.2852992625704993,1.4329399708906898
HTTP Request: Header Bookmark Tool,53511,12,9,15,6,5658,0.0,1.857181619389072,1.5777614075166695
HTTP Request: FavIcon Servlet,311680,0,0,0,0,1015,0.0,10.816683179044286,0.41103592106288767
HTTP Request: Search Assist,5260,85,69,149,4,5049,0.0,0.18278847078748334,0.305799630253848
HTTP Request: Perform Basic Keyword Search,5260,935,793,1554,180,6903,0.0,0.18278628571873373,25.77776115011763
HTTP Request: Go To Advanced Search Page,4330,296,257,370,101,3398,0.0,0.15047478094798836,4.022064424411288
HTTP Request: Browse Items,1751,286,262,367,97,2056,0.0,0.06084751307422278,1.4974362688434428
HTTP Request: Perform Advanced Search WIth Default Date Range,3464,947,824,1661,252,4884,0.0,0.1203947990141946,20.586455494799598
HTTP Request: Saved Item List,31496,8,6,9,4,2913,0.0,1.094860963329562,0.42953330786676164
HTTP Request: Topic Page,1750,682,636,863,273,3501,0.0,0.060828931491155216,3.223802002979401
HTTP Request: Perform Advanced Search WIth New Date Range,865,1413,1315,2202,327,5560,0.0,0.03010093801482609,4.460519679297299
HTTP Request: Navigation Portlet,20632,107,73,250,10,5332,0.0,0.7173708151007668,0.7853128664195181
HTTP Request: Display Group Ajax Calls,20977,293,244,534,8,5689,0.0,0.7293481678052222,3.307666070260459
HTTP Request: Add Search To History,20630,12,9,15,6,4099,0.0,0.7173825406059209,0.2313425846847834
HTTP Request: Suggested Portals,9728,186,135,335,23,5161,0.0,0.33830285199597987,9.935672082896458
HTTP Request: Reference List,9727,131,108,209,9,6249,0.0,0.33828809876245747,1.1286828986041155
HTTP Request: Biographies List,9726,124,105,204,9,3243,0.0,0.3383149861399036,1.0034263314052174
HTTP Request: Primary Sources List,9726,194,170,311,21,3559,0.0,0.33831189114468796,0.9317715932429974
HTTP Request: Magazine List,9724,260,227,424,25,3678,0.0,0.3382544415027486,1.0610023907656259
HTTP Request: News List,9723,289,243,475,23,6451,0.0,0.3382462590704737,1.020231483467714
HTTP Request: Academic Journal List,9722,236,209,384,24,3454,0.0,0.33825018468592294,0.9714346874233591
HTTP Request: Case Overview List,9721,150,136,255,21,3647,0.0,0.3382401643650261,0.6347004493273193
HTTP Request: Website List,9720,132,114,233,22,4579,0.0,0.33826666730700683,0.30700376072187013
HTTP Request: Audio List,9720,207,184,345,22,5881,0.0,0.33826304155408343,0.7837544218996748
HTTP Request: View Full List Page,8163,616,541,855,158,4885,0.0,0.28415532766350104,13.812411158491315
HTTP Request: Sidebar Limiter Ajax Calls,26654,116,97,212,16,5551,0.0,0.9295135837351932,1.009271668814631
HTTP Request: View Document,72891,476,436,642,133,6581,0.0,2.5423089477897687,75.19484252949634
HTTP Request: View More,3474,590,550,755,170,5468,0.0,0.12121408361106036,6.807489275146497
HTTP Request: MLA7 Citation - Get Bookmark,10871,12,10,17,6,1012,0.0,0.3793544894794472,0.16191788030034573
HTTP Request: MLA7 Citation - Get Citation,10868,27,17,42,11,5087,0.0,0.3794690087506922,0.45692294302037845
HTTP Request: Bookmark Tool,10868,12,9,15,6,4024,0.0,0.37949805411220433,0.25908282345775313
HTTP Request: Translate Form,10868,14,10,18,7,3035,0.0,0.3795269051155848,0.551195869060651
HTTP Request: Email Form,10866,15,11,19,7,2290,0.0,0.3794614615608089,0.5571311744859556
HTTP Request: Subject Linking Portlet,4563,14,9,16,6,1051,0.0,0.1593913353850092,0.24562678974672533
HTTP Request: Subject Linking Ajax,4562,276,164,671,6,2337,0.0,0.15937629021604954,0.8373308582765205
HTTP Request: Related Subjects,10861,16,10,18,7,4121,0.0,0.3794490452966293,0.36655690691722925
HTTP Request: Clear Document In Session,10860,12,9,16,6,3015,0.0,0.3794933135269972,0.12237740030176009
HTTP Request: Sort By Content Level,653,436,422,611,106,1675,0.0,0.022837606536297857,0.5160856035724102
HTTP Request: Download Citation Pop Up,4526,11,9,13,6,1054,0.0,0.15825847700377751,0.2311828652618587
HTTP Request: Download Citation CSS,4526,9,8,13,0,1052,0.0,0.1582605189833073,0.24453534373102495
HTTP Request: Download Citation JS,4526,0,0,0,0,8,0.0,0.15825911338740972,0.0
HTTP Request: Download Citation i18n,4526,10,8,13,6,1051,0.0,0.15825757500791898,0.26956552068376854
HTTP Request: Download Citation,4526,23,16,32,11,1068,0.0,0.15825606432622988,1.0727334125611643
HTTP Request: Download,4466,19,14,24,8,6154,0.0,0.15616355450349326,0.18029724589390556
HTTP Request: Sort By Relevance,818,439,400,613,134,3531,0.0,0.028644255816456014,0.6359225731101733
HTTP Request: Print Document Tool (Audit Logging),4526,232,205,294,71,3277,0.0,0.1582776316252836,1.7727686307849189
HTTP Request: Go To Home Page,3467,225,200,286,63,3354,0.0,0.12120895991175344,2.097185802152471
HTTP Request: Sort By Title,818,468,426,664,116,3422,0.0,0.02868189343274052,0.8946303021618188
HTTP Request: Perform Related Subjects Search,1563,608,534,860,165,6657,0.0,0.05468012355119101,4.3131562716278165
HTTP Request: Full List Pagination,451,534,479,691,209,4718,0.0,0.0158279769143166,0.5871064405674382
HTTP Request: Follow Spotlight Links,1735,688,632,847,281,4191,0.0,0.06085166090662732,3.0665707190953
HTTP Request: Portal Page Ajax Calls,20808,232,202,421,8,4518,0.0,0.7295339229066921,2.9620553457673675
HTTP Request: Save Highlight,227,7,6,10,5,56,0.0,0.007996746064138976,0.005427960650355277
HTTP Request: Save Note,227,12,6,10,4,1008,0.0,0.007996796772084175,0.00566227622487852
HTTP Request: Featured Links,1726,627,595,788,222,5791,0.0,0.060782926350673394,1.6778599431033423
TOTAL,992365,119,9,424,0,9337,0.0,34.42961978769595,830.069314287921
